Produzione (kg),Prezzo (€/kg),Area Coltivata (ha),Tipo di Coltura,Numero di Lavoratori,Stagione di Raccolta,Tipo di Terreno,Regione,Metodo di Coltivazione,Successo Produzione Stagionale,Predict
3705.577667567069,4.48409660876554,89.87281934056232,,31.0,2.0,Agricolo,Sud,Tradizionale,False,1509.7929128289964
6546.056996691823,0.017444870702651993,113.12893270306554,6.0,38.0,5.0,Agricolo,Sud,Tradizionale,True,2654.1614784876488
,4.377569105353532,123.82770723485788,,32.0,8.0,Agricolo,Nord,Biologico,False,1651.4197028931098
8204.540412532942,,119.88753827317474,5.0,34.0,10.0,,Centro,,True,3319.2824264951296
3774.0325125091467,1.8031983154282405,87.04368408649006,1.0,36.0,7.0,,Sud,Biologico,False,1536.0261102296058
5637.151358285559,1.3424412232360527,91.79490093708884,2.0,30.0,3.0,Boschivo,,Tradizionale,True,2282.99901359535
4956.077505323362,2.644290928579989,110.12075280861016,4.0,23.0,4.0,Agricolo,Centro,,False,2016.667227971928
3708.3919729434992,2.3057235198774437,110.9266418028523,4.0,39.0,4.0,Montano,Nord,Biologico,False,1517.8347817182555
5139.8241030664985,2.399175494775183,121.70180119272375,3.0,48.33457708975222,7.0,Boschivo,Sud,Biologico,True,2093.3401815844168
7110.645278216905,1.3464828219234248,89.97283887101055,2.0,33.0,8.0,Agricolo,Nord,Biologico,True,2871.8499629480657
4319.962700828836,2.4824057036224376,89.00437691344169,1.0,29.0,5.0,Montano,Sud,Tradizionale,False,1754.986393405567
,2.1601590072695007,70.2995142294491,,33.0,6.0,Boschivo,,Biologico,False,1592.0774391309542
4400.579480470915,4.289050957911335,45.989979483036606,2.0,25.0,4.0,Agricolo,Centro,Biologico,False,1774.6287860332768
,4.30532534027418,113.39478479687071,8.0,28.0,9.0,Montano,,Tradizionale,False,1727.9755927358838
7491.0363070975545,4.48409660876554,88.84923046694342,4.0,23.0,4.0,Montano,Nord,Tradizionale,True,3024.2692919791048
6428.534683530583,0.4545136527358745,128.00046136433215,4.0,23.0,4.0,Montano,Sud,Biologico,True,2611.014011821533
6026.059624465376,,86.85349672178992,0.0,27.0,7.0,Agricolo,Centro,Biologico,True,2436.479898802688
6873.714910101586,3.8683540002106156,46.72984976701745,3.0,35.0,5.0,Montano,Centro,Biologico,True,2764.40491897074
3935.7643152875635,0.45995891181582205,131.988796733394,2.0,28.0,3.0,Montano,,Biologico,False,1614.5023651350436
3321.7336363299273,3.5491215990826426,130.98718570215192,4.0,29.0,4.0,Agricolo,Centro,Tradizionale,False,1369.1896102426165
4682.290483654948,0.4924534318722462,45.34802641867059,5.0,40.0,7.0,Agricolo,Nord,Tradizionale,False,1888.0206013875804
3240.2336124282992,,98.59276616425494,10.0,34.0,8.0,Montano,Centro,Biologico,False,1328.6712748205962
6002.071299354453,0.30750970196718463,109.05632899017974,2.0,39.0,5.0,Agricolo,Centro,Biologico,True,2434.1454184388353
6765.434193536168,1.8845723359662818,149.66166289011844,2.0,47.0,9.0,Boschivo,Sud,Tradizionale,True,2751.6721762815027
5061.695562249487,2.0115585921407475,80.69537847355436,2.0,30.0,3.0,Boschivo,Centro,Tradizionale,True,2049.486838441861
6115.777635452339,3.743094235078257,110.23214188312159,3.0,35.0,12.0,Boschivo,Centro,Biologico,True,2480.280696745873
5399.102383204869,0.6185813842738552,92.57350877679227,2.0,27.0,12.0,Agricolo,Centro,Biologico,True,2188.013005914985
8215.80231871181,0.4258410972088167,136.04712374291006,4.0,30.0,6.0,Agricolo,Nord,Biologico,True,2714.6885431764517
5474.841451677356,3.539368890213545,98.46652790634002,2.0,24.0,12.0,Boschivo,Nord,Biologico,True,2220.0765390428446
4715.757683430012,2.248798156854515,59.61937556257284,0.0,28.0,6.0,Montano,Centro,Biologico,False,1904.1888860407767
6077.3536047532325,3.75012456571798,77.60445417745028,2.0,30.0,7.0,Agricolo,Nord,Biologico,True,2454.8227781545284
,4.259581442680694,72.6220805274874,3.0,29.0,7.0,Montano,Centro,Biologico,False,1857.160584386274
5314.907489864187,4.205622513398138,103.98226277644247,3.0,37.0,7.0,Agricolo,Centro,,True,
5368.675913206946,3.366930601277032,127.23278589842458,2.0,27.0,9.0,Agricolo,Centro,Biologico,True,2186.2402010523056
3235.8347229501296,2.858622235764668,87.5799074968451,2.0,30.0,4.0,Agricolo,Nord,Biologico,False,1321.2078614291054
2527.34489700287,2.173318622671646,82.16850649995621,1.0,36.0,5.0,Agricolo,Nord,Biologico,False,1035.8885107511348
5773.156130912386,4.0475886295108,131.10201702954078,3.0,22.0,6.0,Agricolo,Centro,Tradizionale,True,2349.493057473817
4541.830536743253,4.387636203230148,98.19179930905203,4.0,,6.0,Agricolo,Centro,Biologico,False,1847.389754490017
6283.83082201178,2.3322899167102946,107.37522408054103,3.0,41.0,4.0,Boschivo,Nord,Biologico,True,2546.6448960288744
2118.3359097872535,0.2502097332562109,78.74242376068943,3.0,25.0,5.0,Agricolo,Nord,Tradizionale,False,871.8570910431083
,4.003961581052575,94.24748391244712,4.0,33.0,4.0,Agricolo,Centro,Tradizionale,,1376.723998232629
7427.843161214027,2.44426703382425,140.82118863663456,0.0,31.0,,Agricolo,Centro,Tradizionale,True,
2183.362788649987,4.37562852336143,,3.0,,12.0,Agricolo,Sud,Tradizionale,False,919.7007413530728
,1.231427618007075,176.15362612665325,2.0,38.0,9.0,Agricolo,Sud,,True,
6450.611335639447,1.3024953229189213,,3.0,25.0,1.0,Montano,Nord,Biologico,True,
4446.707477880011,1.6008695507738673,110.13371788368605,5.0,29.0,10.0,Agricolo,,Biologico,False,1813.2231065171102
4120.491329652185,4.3005991103079335,112.32386686434414,3.0,27.0,,Boschivo,Centro,Tradizionale,False,1682.7936919201777
5296.061741721149,1.1329646082314966,112.04587295637515,2.0,25.0,5.0,Boschivo,Centro,Biologico,True,2152.638458575372
3901.6093100174094,3.2248007713276525,108.1898762537929,5.0,26.0,9.0,Agricolo,Nord,Biologico,False,1594.6006868831016
5478.457002547957,3.1516688549772747,99.02699342374163,5.0,33.0,12.0,Boschivo,Centro,Biologico,True,3478.2426497357187
5753.900879103044,4.478980291611616,59.43903834919898,3.0,34.0,5.0,Boschivo,Nord,Biologico,True,2320.2920631459774
7567.001426409755,2.4072483310776334,105.79141112153272,1.0,29.0,8.0,Boschivo,Centro,Biologico,True,3058.8379939003626
8389.360880303206,1.8510845059991872,90.09195581065977,3.0,23.0,5.0,Boschivo,Centro,Tradizionale,,3383.6719388644806
2975.2133090761977,3.1319018523020787,116.73448673428766,1.0,21.0,6.0,Agricolo,Centro,,False,1225.4056696507653
6235.503012831739,1.9744796734489567,77.51222095332284,6.0,25.0,4.0,Agricolo,Centro,Biologico,True,2519.2548714186933
7837.631089593752,2.5793741460345325,89.80343885842562,4.0,34.0,3.0,Agricolo,Nord,,True,3163.1934674950285
6778.822419302477,3.603515656902869,73.08012314564871,2.0,25.0,5.0,Montano,,Tradizionale,True,2734.053004664686
7510.684383358481,1.0265239381588154,110.102215316843,2.0,36.0,12.0,Agricolo,Nord,Tradizionale,,3037.904417938445
5252.269491600676,4.774140258052526,45.55066964637031,1.0,,3.0,Agricolo,Centro,Biologico,True,2114.8729975341816
4470.51133735735,4.544856257802261,117.83619387940591,5.0,42.0,7.0,Montano,Centro,Biologico,False,1825.055393106762
4852.649054683445,2.0226111374535822,131.3542595656294,,30.0,8.0,Agricolo,Nord,Biologico,False,1981.065899743067
6189.521258370135,1.811381873757676,118.33785345299157,2.0,,6.0,Agricolo,Centro,Biologico,True,2511.9098593839517
3995.3344243816537,0.11294522329111656,70.72375022312619,2.0,37.0,4.0,Boschivo,Centro,Biologico,False,1619.9508948195992
3452.0079835905917,0.287699877333667,132.73328204226135,3.0,31.0,,Boschivo,Centro,Biologico,False,1421.5231780489153
6238.970814226894,3.313658238501265,77.66641533999872,3.0,31.0,4.0,Agricolo,Nord,Biologico,True,2519.7882502927573
4401.739208354394,3.471145550411243,103.87255112902442,4.0,32.0,6.0,Agricolo,Sud,Biologico,False,1793.0574486804649
4909.369647182957,4.14026078268825,,5.0,26.0,8.0,Agricolo,Sud,,False,1999.2348126633235
6812.609849204715,4.48409660876554,101.90250252179655,3.0,40.0,7.0,Agricolo,Centro,Biologico,True,2756.514690438425
8215.80231871181,1.8642576807828948,138.0567901266439,3.0,37.0,,Montano,Centro,Tradizionale,False,1609.1134076132969
1537.8440269717457,3.1731683558107497,86.12873635195454,3.0,33.0,4.0,Agricolo,Centro,Tradizionale,False,641.8762316942847
4074.874638062572,0.40889077316097033,98.20114017880638,4.0,21.0,11.0,Montano,Nord,Biologico,False,1660.6101972786707
3864.938992646198,4.44068698004818,119.80516809470768,4.0,24.0,9.0,Boschivo,Nord,Biologico,False,1583.1171474868916
5647.962678764111,2.021769955641642,119.74828001765101,7.0,48.33457708975222,2.0,Boschivo,Centro,Biologico,True,2297.2095555109395
6029.235542957449,1.4206593979836861,,8.0,22.0,4.0,Boschivo,Centro,Tradizionale,True,2457.53459790178
4200.800405876656,2.272636390881187,117.84136773406318,3.0,37.0,,Montano,Sud,Biologico,False,1716.5725726708818
3564.0286804970483,4.308563028821389,57.584525354174154,3.0,22.0,7.0,Boschivo,Centro,Biologico,False,1443.7868298050719
5706.909671439375,3.9524016449161,97.22354967262476,3.0,33.0,5.0,,Centro,Biologico,True,2312.8309334775377
5609.732539549826,0.812172913421027,84.57029372521308,4.0,32.0,8.0,Montano,Centro,Biologico,True,2270.464103937494
,4.613351546211691,65.21937453221202,1.0,35.0,9.0,Boschivo,Sud,Biologico,True,2956.2645924984517
3935.597843945694,4.899238625952909,72.26719430795183,5.0,27.0,5.0,Boschivo,Sud,Biologico,False,1597.4192958706633
2359.6908037657417,0.33349745515442897,69.8026089882697,4.0,23.0,6.0,Agricolo,Centro,Biologico,False,966.0171042027778
3542.9938941662267,1.440554218239276,110.00067780324346,5.0,19.0,8.0,Agricolo,Centro,Tradizionale,False,1451.697761007464
5051.974690252106,2.3114988213109404,97.5289294029231,4.0,37.0,10.908506055947074,Montano,Sud,Biologico,True,2051.248554921719
3748.853941614301,0.05943658023961018,97.67208898197362,2.0,,11.0,Boschivo,Sud,Biologico,False,1529.4432033403127
5949.827409479987,3.8310403294779283,83.35448858861602,3.0,28.0,2.0,Agricolo,Sud,Biologico,True,2405.83731036858
5240.668841730245,2.95106474468533,106.88009228218661,1.0,30.0,8.0,Montano,Centro,Biologico,True,2128.6315643767543
4381.5109514692795,2.6178146475129638,85.41984635936062,,48.33457708975222,5.0,Agricolo,Nord,Biologico,False,1778.83033449552
7083.406765153104,0.8374398154815138,92.75300311819248,3.0,38.0,4.0,Agricolo,Sud,Tradizionale,True,2862.0886069966996
4771.770711180583,4.08708947517175,66.96040804630422,,29.0,4.0,Agricolo,,Tradizionale,False,1929.9964068861248
5852.99948228505,3.038608545296308,,1.0,31.0,6.0,Agricolo,Centro,Biologico,True,2372.88037273632
8215.80231871181,2.577768585300923,88.31804061389917,2.0,32.0,9.0,Boschivo,Sud,Biologico,False,1812.8720432208913
3384.1379515984127,0.43112875675069995,94.74218875384224,5.0,27.0,,Agricolo,Sud,Tradizionale,False,1383.577837265518
,4.313631341693088,121.92737468845797,3.0,27.0,6.0,Agricolo,Centro,Biologico,True,2718.2492454311937
3426.484861707796,2.23236379781621,98.60483356359816,4.0,24.0,10.0,Montano,Sud,Biologico,False,1401.375394752198
5594.542815515053,3.451193727669714,81.27191469589596,4.0,35.0,11.0,Agricolo,Centro,Tradizionale,True,2263.39870061479
7461.162844639026,4.120529344192773,100.89385210832125,3.0,31.0,3.0,Boschivo,Centro,Biologico,,3015.633293488107
4651.264194820584,1.5153161012781236,119.36201646091925,7.0,29.0,7.0,Agricolo,Centro,Tradizionale,False,1898.4142828665092
4634.487570202079,4.52863217398367,81.97786397086713,,,7.0,Montano,Centro,Tradizionale,False,1879.288387272092
3657.6867672949597,1.4913785954956142,120.8989672598108,3.0,32.0,7.0,Boschivo,Centro,Tradizionale,False,1500.2443970959273
5036.982753207361,0.5148222065873903,76.6728178106747,,29.0,4.0,Agricolo,Nord,Tradizionale,False,2038.994946626147
4187.641023896402,1.3814064976630036,78.82374479678555,4.0,29.0,5.0,Agricolo,Nord,Tradizionale,False,1699.9035329975964
2842.869282601745,2.4538540443872203,86.57418066540727,2.0,33.0,5.0,Montano,Nord,Biologico,False,1163.7199672403203
2986.6829595064655,4.676698452963272,74.45964408993291,3.0,32.0,10.908506055947074,Montano,Nord,Biologico,False,1217.911077029566
4582.919561286638,1.8366212574626017,133.26993754193887,3.0,32.0,10.0,Agricolo,Sud,Biologico,False,1874.048805777237
3842.16400110019,4.604922063560231,86.68701556217971,1.0,38.0,8.0,Agricolo,Centro,Biologico,False,1563.17170510873
6432.895566828187,2.839241523921298,91.78559823751517,1.0,29.0,6.0,Boschivo,Centro,Tradizionale,True,2600.99390620253
6148.862965549832,2.3815542647275674,103.78626753259881,1.0,30.0,4.0,Agricolo,Nord,Biologico,True,2490.981066479713
5223.093062484418,3.834192432353851,78.45815264504027,3.0,42.0,10.0,,Centro,Biologico,True,2113.6746707872794
2731.6532416062523,0.9860915795929309,90.46793804164182,4.0,34.0,12.0,Agricolo,Sud,Biologico,False,1121.0016780549936
4304.227964979049,4.5389966913544795,96.85632796012625,2.0,,3.0,Agricolo,Centro,Biologico,False,1751.3480843796574
7069.287785068688,,100.33309714874544,4.0,37.0,3.0,Montano,Nord,Biologico,True,2859.015043172099
6830.759625740404,0.3205985162989933,123.75977961208991,6.0,30.0,11.0,Boschivo,Centro,Biologico,True,2771.231784179789
4833.38587475398,2.5850533725342966,88.32310430013204,2.0,28.0,8.0,Boschivo,,Biologico,False,1960.4512811916316
3524.613495642482,4.7951349507925904,99.84427269174037,1.0,48.33457708975222,6.0,Agricolo,,Tradizionale,False,1440.098680064515
3176.5011907578037,0.3481096870268918,89.54579144270852,0.0,33.0,1.0,Agricolo,Centro,Biologico,False,3478.2426497357187
4605.984692467235,0.4373730701127626,99.27990031780459,2.0,30.0,4.0,Agricolo,Sud,Biologico,False,1872.7778470822352
,1.853615724519428,108.8521292294224,5.0,28.0,5.0,Boschivo,Centro,Biologico,,2249.982423943428
5409.69612182237,0.988058815686983,104.14773117781635,2.0,29.0,3.0,Montano,Centro,Biologico,,2195.722768082293
4736.0695267217025,0.8622940855613059,129.85064614278454,5.0,26.0,7.0,Agricolo,Nord,Tradizionale,False,1934.8830045315165
4118.749416629551,3.221726436388896,94.67737605867381,6.0,35.0,7.0,Boschivo,Centro,Biologico,False,1677.7029794694226
5038.581488350721,3.8537209099257246,131.17520573681796,5.0,35.0,3.0,Boschivo,Nord,Biologico,True,2056.285157061334
7199.7549833367175,1.4596462380435167,,2.0,33.0,7.0,Agricolo,Sud,Biologico,True,2912.8470343204563
8910.782148485143,4.668877804813561,125.23217703495567,2.0,26.0,12.0,Montano,Nord,Tradizionale,True,3602.482512504544
3878.5306744509744,3.9084227203857766,91.07238865240286,4.0,36.0,5.0,Agricolo,Nord,Biologico,False,1579.9339863761106
7232.384477039177,4.398244808117504,95.12332533004111,1.0,39.0,4.0,Agricolo,Centro,Biologico,True,2921.7907884146834
5591.7784795695625,4.907312248445951,71.86576028560029,3.0,33.0,3.0,Boschivo,,Tradizionale,True,2259.171119913505
5357.427125577339,4.70889889879675,119.56931084302057,2.0,30.0,9.0,Agricolo,Sud,Biologico,True,2179.4416434838417
2273.0337966563657,4.623347665466367,139.36772256832083,2.0,22.0,3.0,Agricolo,Centro,Tradizionale,False,951.6238354330426
7886.5224746631975,1.5722718442217825,52.427062644777145,,37.0,8.0,Montano,Centro,Tradizionale,True,3170.6371086587124
7918.265611603254,4.562760977602987,114.29970741626501,1.0,26.0,9.0,Montano,Centro,Tradizionale,True,
,3.0852108954846718,79.77951941454623,1.0,29.0,7.0,Boschivo,Nord,,False,1851.6407789003604
3847.553808916727,3.505425332677668,95.97080629711867,4.0,29.0,2.0,Agricolo,Nord,Biologico,False,1569.0127654558266
5766.894378219629,2.9245961678652552,106.40426026169126,3.0,30.0,7.0,Boschivo,Centro,Biologico,True,2339.5790293663595
,1.213065555564049,119.79501250720124,3.0,34.0,6.0,Montano,,,True,2196.8908451874954
3892.0399300563736,2.581950263181512,84.36274602535923,3.0,42.0,5.0,Agricolo,Nord,Biologico,False,1583.0247958301572
5511.069798817443,3.7090464927168947,59.9649454338779,2.0,40.0,5.0,Agricolo,Centro,Tradizionale,True,2223.0174031571405
7148.255208715276,0.3582462631521366,,3.0,31.0,4.0,Agricolo,Centro,Tradizionale,True,2886.3747799397174
5466.19959309909,4.915169307403072,79.8033575397733,4.0,35.0,8.0,Montano,Centro,Tradizionale,True,
3225.5315582050284,3.608918611488607,99.12043365139604,2.0,35.0,9.0,Boschivo,Centro,,False,1320.54875337743
4623.280827139205,0.10393099561994024,108.33814227489208,4.0,29.0,6.0,,Centro,Biologico,,1883.0137735381497
8514.044362274883,1.429484687275101,68.64554078702368,4.0,27.0,5.0,Boschivo,Sud,Tradizionale,True,3427.4114071460604
3901.3518322320974,3.973667424372369,120.42374124921011,3.0,27.0,,Agricolo,Sud,Biologico,False,1597.5678552676022
5827.576693398831,1.4819077523825337,117.94941083433054,5.0,28.0,8.0,Boschivo,Centro,Biologico,True,2367.9155006098317
5550.920483510879,2.4090298139874653,82.6410887312557,2.0,,12.0,Montano,Centro,Biologico,True,2245.7605200237285
8179.728609132955,0.7287315259902166,117.13055564615523,3.0,25.0,3.0,Agricolo,Nord,Tradizionale,True,3307.930610347029
4431.531058022307,0.30428206816707604,117.92038015539711,3.0,22.0,3.0,Boschivo,Nord,Tradizionale,False,1808.888537255542
4280.118275674837,2.0305628006028096,59.77385193780029,,26.0,8.0,,Nord,Biologico,False,1730.5794658512748
5037.234908151304,3.265922880894991,111.47801122697011,2.0,26.0,7.0,Agricolo,Nord,Tradizionale,True,3478.2426497357187
7360.91241841182,1.8636683066972248,46.56367462752158,3.0,30.0,2.0,Agricolo,Nord,Biologico,True,2959.234069752985
4590.371759951957,4.0818095819151585,87.46389981346803,,41.0,3.0,Agricolo,Sud,Biologico,False,
7186.600644513655,0.942317686596662,71.1812980456402,2.0,23.0,8.0,Boschivo,Sud,Biologico,True,2896.594647219154
7120.120231278977,0.9687357005132397,114.94293480410802,3.0,35.0,1.0,Boschivo,Centro,Biologico,True,2883.4309729528236
5224.862762858328,1.7341016258183233,126.27811479219194,3.0,32.0,6.0,Montano,Centro,Tradizionale,True,2128.728539580989
5080.602992157895,2.157913544745655,89.62716537054344,2.0,30.0,5.0,Boschivo,Centro,Tradizionale,True,2059.7293464743207
4894.231706199654,0.05114220634684197,94.26907801791234,3.0,39.0,9.0,Agricolo,Centro,Biologico,False,1986.8734058852353
4536.133061710895,0.9888876037911215,115.45115178205684,1.0,34.0,10.908506055947074,Montano,Nord,Tradizionale,False,1849.3885702189752
3519.077360333461,4.21520071607369,89.46554752745148,5.0,,3.0,Agricolo,Nord,Biologico,False,1435.9706083916199
5240.271546173225,1.4473391221082244,101.5417382338631,4.0,33.0,,Montano,Nord,Tradizionale,True,2127.771139939449
5620.1943027387715,0.3199620747434295,113.10396699144951,1.0,29.0,6.0,Agricolo,Centro,Tradizionale,True,2282.308911192944
6639.411945754924,4.777410467673747,118.86180893264032,2.0,36.0,6.0,Boschivo,Centro,Tradizionale,True,2692.0233209817616
6052.081998722947,4.57927728431219,138.09217811665116,3.0,34.0,7.0,Boschivo,Nord,,True,2463.160452924174
5649.855784504721,1.0096855468165578,82.57165525748691,4.0,24.0,7.0,Agricolo,Sud,Biologico,True,2285.9138103791342
6213.610403390943,2.1630925496271134,,5.0,23.0,4.0,Agricolo,Nord,Biologico,True,2522.090926233471
5394.788670191264,2.4015420766819555,123.96785149237488,1.0,23.0,12.0,Agricolo,Sud,Tradizionale,True,2195.4058235242182
5782.904586043382,0.7064425900422372,123.95712506000618,4.0,16.0,3.0,Montano,Nord,Biologico,True,2351.548971935354
4095.4464991000596,4.916789859115712,89.06471032405874,4.0,35.0,7.0,Agricolo,Centro,Biologico,False,1666.0980127372416
3908.345196935763,0.6997190781597057,152.2951440632641,5.0,36.0,6.0,Boschivo,Sud,Biologico,False,1610.5266219932846
3794.2877846131414,0.25718065481872276,116.68055922477454,4.0,28.0,4.0,Agricolo,Nord,Biologico,False,1553.919281612689
,1.0752070618841547,130.65268938522237,4.0,34.0,2.0,Boschivo,Centro,Biologico,,1954.3137344258637
3616.6897898776515,4.367652120370392,97.23323470040599,3.0,32.0,3.0,,Centro,Biologico,False,1476.7458863611826
3579.464008391583,2.043968777719293,44.233034308555794,4.0,36.0,3.0,Montano,Centro,Biologico,False,1446.2555136491999
