Numero di Veicoli,Velocità Media,Incidenze,Tipo di Strada,Veicoli Sostituiti,Numero di Incidenti,Categoria Strada,Ora del Giorno,Giorno della Settimana,Allerta Traffico,Predict
5813.694020333359,57.75660828630303,6.6708774504524175,3.0,94.0,12.0,Strada Urbana,Pomeriggio,Sabato,True,1158.964406473177
5304.3664356836525,53.65977179223096,9.747241651640731,9.0,104.0,14.0,Autostrada,Pomeriggio,Martedì,True,1058.4314824529997
4024.997781527555,50.893289523244746,1.4729686420963173,10.0,106.0,12.0,Autostrada,Sera,Giovedì,False,1557.454108723199
5426.416833474498,65.86709850209304,2.3327251045666375,10.0,109.0,12.0,Autostrada,Sera,Martedì,True,1079.3964743760605
4469.48162246876,37.967080750437624,6.612574274562204,8.0,106.0,6.0,Strada Provinciale,Pomeriggio,Domenica,False,892.0833887010771
6816.527668891547,93.36340793464247,9.152491053975767,,93.0,5.0,Autostrada,Notte,Giovedì,True,1356.7149403010383
4174.939195184564,44.210565495859505,4.671491438352488,6.0,90.0,13.0,,Mattina,Domenica,False,831.9682299188325
2513.8289556122695,1.1412090931608398,9.267136918293524,8.0,101.0,18.953642585370954,Strada Urbana,Pomeriggio,Martedì,False,505.43181128862597
5766.848047284982,90.39626428555663,5.664010055582327,10.0,94.0,9.0,Autostrada,Pomeriggio,Martedì,True,1146.0291860451157
5795.404754772215,99.4918759042467,6.037653195451112,10.0,113.0,6.0,Autostrada,Mattina,Lunedì,True,1150.9430593226539
4588.715816222409,69.02819405142075,10.23442993991532,10.0,80.0,9.0,Strada Provinciale,Notte,Venerdì,False,913.9106728213144
4964.34218871449,107.92581886275649,6.928355127198916,9.0,108.0,9.0,Autostrada,Mattina,Sabato,False,984.154362394782
,41.402154405400104,0.3324646933629687,5.0,101.0,11.0,Autostrada,Mattina,,False,885.646629863288
6248.349933894668,70.36558221959555,6.648621732883044,,87.0,9.0,Autostrada,Sera,Venerdì,True,1244.6280150768391
,25.193831972768187,8.553754489282225,6.0,106.0,,Strada Urbana,Mattina,Giovedì,True,1073.1891865850598
4161.449245194934,99.13650083736928,7.065249947515111,5.0,105.0,8.0,Autostrada,Mattina,Domenica,False,824.1029873875214
4788.842680740078,27.375382526601744,4.661685727180946,7.0,108.0,9.0,Strada Urbana,Sera,Martedì,False,956.4295036135098
3606.3532963004063,101.77142293535493,5.754823255882832,10.0,107.0,9.0,Strada Urbana,Notte,Martedì,False,712.8199639433107
4987.007123026394,44.89752198416471,6.997370353911269,,90.0,8.0,Autostrada,Pomeriggio,Sabato,False,995.0108835130358
4711.348681259569,20.491443272806876,5.873836489075662,10.0,108.0,8.0,Autostrada,Pomeriggio,Martedì,False,941.9827428713559
,58.72993157356979,7.716770052228885,10.0,83.0,8.0,Strada Urbana,Notte,Lunedì,False,738.2989411692078
6759.809451373906,99.66204833333542,0.30285307150833773,10.0,97.0,8.0,Autostrada,Pomeriggio,Domenica,True,1342.0865413629003
5615.753085115441,114.20740775588688,3.5904791105407194,4.0,98.0,8.0,,Notte,Martedì,True,1112.8070199806618
5751.868596443715,32.20742179408654,3.411532466131308,7.0,88.0,8.0,Strada Urbana,Notte,Martedì,True,1148.1764368491738
4739.372148526544,89.19691502388372,4.780432236443426,10.0,,17.0,Autostrada,Mattina,Mercoledì,False,940.3888678738535
3491.9160748289432,111.31131447608406,2.513946462218717,5.0,101.0,14.0,Autostrada,Mattina,Venerdì,False,688.006267456846
6117.147272915581,74.21106276501425,11.274475864361975,9.0,97.0,6.0,Strada Provinciale,Sera,Lunedì,True,
3480.026220905405,70.49892210835655,4.284187780666109,,94.0,13.0,Autostrada,Notte,Mercoledì,False,690.2406083044452
4330.890045595768,107.70834107985395,,7.0,87.0,17.0,Strada Urbana,Pomeriggio,Lunedì,False,857.875402678175
4035.7807844251165,64.1649889098087,6.559926322136995,6.0,100.0,8.0,Strada Urbana,Notte,,False,802.7076358906836
6165.1529427891255,76.0946402092414,4.20342693916371,8.0,78.0,13.0,Strada Provinciale,Sera,Lunedì,True,
5755.347947171824,111.72915699667264,3.6144589019172693,,98.0,10.0,Autostrada,Sera,Mercoledì,True,1140.9810114052727
5906.839532368017,,3.526935697233223,9.0,99.0,7.0,,Pomeriggio,Lunedì,True,1179.7820767761552
,110.92596014690217,4.026074966885828,,96.0,7.0,Autostrada,Pomeriggio,Martedì,True,1168.3669925266129
4299.3776882746015,86.35609409683897,6.400180388686631,10.0,110.0,14.0,Strada Urbana,Pomeriggio,Venerdì,False,853.1599823618425
7850.518184409375,76.29999869433547,6.112268992739864,7.0,92.0,12.0,Strada Urbana,Sera,Venerdì,True,1056.5137641445945
4414.072131249122,50.882153628496184,0.0,9.0,92.0,13.0,Strada Urbana,Notte,Lunedì,False,877.7262108869749
5405.505682198846,58.95027353650844,,7.0,95.0,7.0,Strada Provinciale,Notte,Giovedì,True,1076.3381684202197
7850.518184409375,43.527544626322225,3.5705386747808383,8.0,101.0,12.0,Strada Urbana,Mattina,Lunedì,True,1037.6323195846512
,51.440674087008944,6.370245320561182,8.0,98.0,9.0,Autostrada,Sera,Venerdì,False,825.7265639741188
6410.999238839564,0.8412820600105153,5.534134156444314,8.0,99.0,11.0,Autostrada,,Venerdì,True,1283.775959808845
4963.120205234194,68.18157542113666,8.164120609276374,7.0,115.0,7.0,Autostrada,Mattina,Lunedì,False,988.2551196875081
4742.081289687467,42.81883079127868,6.054970923961585,10.0,95.0,11.0,Strada Urbana,,Giovedì,False,945.950866135554
,56.47130023147249,8.25470880323117,6.0,88.0,9.0,Strada Provinciale,Sera,Giovedì,False,620.3594591211767
5764.976663033201,91.73452824611076,5.475961819619883,6.0,92.0,6.0,,Notte,Sabato,True,1145.464668327915
6026.291418596343,90.31035717623188,3.1329734850838062,5.0,94.0,11.0,Strada Provinciale,Sera,Domenica,True,1197.1671400471705
3416.170594670309,16.62923959246861,8.697460900564714,7.0,94.0,11.0,Strada Provinciale,Mattina,Sabato,,684.1804332449843
5040.829757455407,35.19192613088255,4.091784439261141,3.0,89.0,8.0,Autostrada,Notte,Mercoledì,True,1005.8742942097715
5794.979763341218,65.31558206702582,4.1005880422718235,10.0,98.0,12.0,Strada Urbana,Pomeriggio,Giovedì,True,1153.6945708742228
6492.915017763225,16.086132411877465,7.28563421232022,5.0,93.0,13.0,Strada Provinciale,Pomeriggio,Domenica,True,1299.1600805751534
4260.959609498007,72.25235687127616,4.035321491244244,6.0,102.0,8.0,Autostrada,Sera,Martedì,False,846.1772826598472
5732.310037392614,95.60642562929755,1.8489084649862644,7.0,85.0,11.0,Autostrada,Sera,Martedì,,1137.4560374550888
4286.52091363044,27.81758841278577,5.261765268160319,10.0,89.0,10.0,Strada Provinciale,Sera,Giovedì,False,856.1009534652576
,26.18782280911443,8.311010536201152,8.0,88.0,10.0,Autostrada,Pomeriggio,Martedì,,755.210453168241
5750.618958377593,114.70373460647795,5.828937585476608,9.0,115.0,9.0,Strada Urbana,Pomeriggio,Martedì,True,1140.402099490514
6404.231682485864,23.830372797921186,8.633977276185202,9.0,97.0,9.0,Strada Urbana,Pomeriggio,Giovedì,True,1281.0534924002366
3151.964888436075,,0.0,10.0,110.0,6.0,Strada Urbana,Notte,Lunedì,False,623.8602707182031
3493.0177044804095,82.76189945355767,3.1168778309915104,14.812342138768171,91.0,12.0,Strada Provinciale,Pomeriggio,Mercoledì,False,691.2624143000237
5921.608474204444,72.75749079551575,5.1804213615821775,8.0,110.0,7.0,Strada Urbana,Mattina,Mercoledì,True,1178.600072169812
6888.889738805463,21.832909001511002,5.373404342461558,8.0,103.0,11.0,Strada Urbana,Notte,Lunedì,True,1377.20667816368
6146.346820889375,48.491966811012055,6.6937572551892295,6.0,189.9595394490244,11.0,Strada Provinciale,Sera,Lunedì,True,1226.4282946733308
4914.40143447158,56.93368539377276,9.096948311926887,14.812342138768171,104.0,7.0,Autostrada,Mattina,Domenica,False,979.9160028485168
5012.284670311226,80.14647318692258,10.637520878659465,5.0,99.0,5.0,Autostrada,Sera,Sabato,False,
4841.185007093494,108.69783789423724,8.623081155279351,10.0,80.0,12.0,Strada Provinciale,Sera,Martedì,False,959.954141975859
5466.379571783011,81.42002140484001,4.567008280430204,5.0,,5.0,Strada Urbana,Sera,Martedì,True,1086.5040147002474
4914.983934423825,113.83418631004119,1.067791153889015,6.0,105.0,7.0,Strada Urbana,Mattina,Sabato,,
5258.397662332886,73.27581318450228,2.2522400388055153,10.0,107.0,7.0,Autostrada,Sera,Mercoledì,True,1045.0276231597686
6078.687755078981,87.02137823238803,4.5672124367007685,6.0,98.0,14.0,Strada Provinciale,Notte,Mercoledì,True,1208.4055769235677
5708.261843367445,61.88370059391269,9.334142063801679,9.0,100.0,8.0,,Sera,Lunedì,True,1138.2642412332384
5109.943074853125,90.55061708811765,6.267268257722305,6.0,109.0,7.0,Autostrada,Mattina,Sabato,True,1014.8137337391299
5870.080046225258,,7.5777750690309285,14.812342138768171,93.0,11.0,Strada Provinciale,Pomeriggio,Lunedì,True,1173.4766253560972
,81.11150034219735,2.743920995345115,9.0,,7.0,Autostrada,Notte,Lunedì,True,
4923.95485060651,16.95219742892401,4.955912706436672,8.0,90.0,13.0,Strada Urbana,Notte,Giovedì,False,984.5825241903407
5524.978426010605,27.141978928492563,5.0554977583629395,10.0,105.0,8.0,Autostrada,Mattina,Venerdì,True,1103.798136636781
4938.099652936182,57.21497622434975,2.31252666985612,10.0,114.0,9.0,Strada Urbana,Sera,Martedì,False,982.5921909657583
4446.852005244982,19.902343765081167,4.449419797831871,8.0,95.0,10.0,Strada Urbana,Pomeriggio,Mercoledì,False,888.7149926118378
4707.176018836748,113.57567154380652,3.9643747993615226,,95.0,3.0,Strada Urbana,Sera,Sabato,False,931.2669490527775
4053.4393538417235,108.05606497565903,8.983303317167362,10.0,112.0,11.0,Autostrada,Notte,Giovedì,False,802.577255265929
5472.8328939867015,28.63840509789298,2.287355840990969,4.0,98.0,13.0,Autostrada,Sera,Mercoledì,True,1092.3889450398483
4482.604865368881,98.60501515749237,4.126466358414305,10.0,101.0,18.953642585370954,Autostrada,Pomeriggio,Sabato,False,1557.454108723199
4450.3776911269215,85.86344853998953,9.306401659318288,4.0,104.0,11.0,Autostrada,Sera,Mercoledì,False,884.2811138691808
5683.594978871669,70.8109185984583,2.5191589924642552,10.0,128.0,9.0,Strada Urbana,Sera,Lunedì,True,1130.3936516122271
4437.972156903638,73.59065384761539,6.064242482977344,6.0,113.0,8.0,Autostrada,Pomeriggio,Lunedì,False,882.0546387408593
5162.427098902102,81.91467117655287,3.4101986194280838,,90.0,8.0,Autostrada,Sera,Domenica,True,1025.3170122485935
4118.993327586841,88.21944260568883,6.515993425886687,5.0,113.0,13.0,Strada Urbana,Mattina,Giovedì,False,816.9315192845653
4494.747553625612,97.10919628320855,4.825163270072863,4.0,110.0,15.0,Strada Urbana,Mattina,Sabato,False,890.6861400778236
5027.400368609551,97.71826912201848,2.707548643657863,5.0,98.0,8.0,Autostrada,Pomeriggio,Venerdì,False,996.5205114028057
5446.87025315846,11.24954537706698,7.252016320209229,8.0,102.0,7.0,Strada Urbana,Sera,Sabato,True,
3476.855027904371,19.437781955254145,4.619714338369625,9.0,104.0,,Autostrada,,Lunedì,False,694.8131416868597
4138.700522393621,17.70543721291574,9.971164012608,8.0,109.0,9.0,Strada Urbana,Notte,Mercoledì,False,828.9609099612152
5770.109025998063,36.338576525050534,4.0019437441964625,10.0,115.0,10.0,Strada Urbana,Pomeriggio,Martedì,True,1151.5885306703665
5368.806359236431,103.11753589019256,7.273712117291879,10.0,104.0,8.0,Autostrada,,Mercoledì,True,1065.6316318934546
4426.205874016641,,7.356786293282074,3.0,89.0,11.0,Autostrada,Pomeriggio,Giovedì,False,884.5400586542662
4155.695219602641,57.568250741694996,8.663900813403515,,84.0,10.0,Strada Urbana,Notte,,False,827.9813890903799
5795.156208914163,1.9361318075716438,4.5463363576185944,10.0,97.0,9.0,Autostrada,Mattina,Lunedì,True,1160.2015295093609
6938.743493743603,76.75307992383843,0.9779022790525831,6.0,108.0,11.0,Strada Urbana,Sera,Giovedì,True,1380.3667614400526
4534.566308630566,45.44355529595804,8.146239594919379,10.0,108.0,4.0,Autostrada,Sera,Mercoledì,False,904.8127780749932
5395.243648454352,99.0753140130779,5.965513993621112,5.0,100.0,3.0,Autostrada,Notte,Mercoledì,True,1070.930852487649
6033.6344259343105,97.1760637414013,5.769765433264709,14.812342138768171,189.9595394490244,8.0,Strada Provinciale,Sera,Venerdì,True,1198.7402084427013
4918.850928506904,44.4701678701303,4.432458827703333,9.0,,10.0,Autostrada,Mattina,Martedì,False,980.6529065626788
4547.870207496162,47.85717300339829,7.765272834241159,9.0,93.0,5.0,Strada Provinciale,Mattina,Giovedì,False,907.117906049165
3929.605052546205,8.811465652720432,7.033735558032206,10.0,105.0,14.0,Autostrada,Pomeriggio,Lunedì,False,787.1499846113787
2863.722714111511,0.6420707711466189,3.838796118948233,10.0,91.0,7.0,Strada Provinciale,Pomeriggio,,False,573.8319745808719
7850.518184409375,71.31966492553207,2.6035782495239403,6.0,86.0,11.0,Autostrada,Pomeriggio,Domenica,False,947.2767230147999
6865.636926245324,101.8405908604062,8.25470880323117,7.0,106.0,10.0,Autostrada,Notte,Lunedì,True,1365.3909469364291
4676.516238734381,32.294995151724585,0.0,7.0,102.0,8.0,Autostrada,Mattina,Lunedì,False,932.0737482317037
7484.9171611999045,86.42200370309469,11.108449818386806,10.0,84.0,13.0,Autostrada,Sera,Lunedì,True,1491.6737668151877
5640.926522272827,37.07898638455933,3.8177433801978107,7.0,,10.0,,Notte,Lunedì,True,1125.622728830169
4635.383446729975,79.33046086431868,11.992313116621954,7.0,95.0,8.0,Strada Provinciale,Mattina,Martedì,False,922.7413371945497
3909.6141584855295,92.2571250055825,7.552749186721229,10.0,97.0,12.0,,Notte,Giovedì,False,774.962943952564
4467.39222505,40.41338238130144,6.805804843759194,9.0,126.0,9.0,Strada Urbana,Pomeriggio,Lunedì,False,891.4788482249977
4930.790235059199,21.874000106137487,12.378124918207321,4.0,98.0,8.0,Strada Provinciale,Mattina,Venerdì,False,987.6840844766884
4764.799886801741,111.1901889145651,8.247072032335304,10.0,105.0,14.0,Strada Urbana,Notte,Venerdì,False,944.3150800785922
4941.199830922272,30.85844404427171,1.4337372017425833,9.0,94.0,6.0,,Pomeriggio,Martedì,False,985.58424294055
5546.046184208415,46.39216977830506,8.258383240638134,6.0,115.0,10.0,Strada Provinciale,Notte,Mercoledì,True,1107.047534836044
6623.70704330535,115.46085234523999,4.854659758519952,8.0,103.0,8.0,Autostrada,,Sabato,True,1314.6517213541022
6250.957282814687,68.36776020049574,8.25470880323117,8.0,,6.0,,Mattina,Venerdì,True,1244.7657559151783
4506.8435043657955,21.761541448670027,4.661588417086478,10.0,88.0,8.0,Autostrada,Mattina,Lunedì,False,900.591023253418
4558.82906926915,12.508821422254117,3.166847725348351,10.0,101.0,12.0,Strada Urbana,,Giovedì,False,911.4649860292091
5748.8211520605655,12.619712473605436,4.780410067870216,10.0,101.0,,Strada Urbana,Notte,Domenica,True,1149.9363821851136
5579.342015663404,59.24970200004719,8.34639425344681,7.0,88.0,10.0,Strada Urbana,Sera,Giovedì,True,1112.4473512087102
7850.518184409375,95.1582491759583,12.900729432673192,,97.0,11.0,Strada Urbana,Pomeriggio,Giovedì,,735.9267650070875
4659.453822665666,15.61155870011322,6.831872764071937,9.0,100.0,10.0,Strada Urbana,Sera,Sabato,False,932.3791704923435
5136.447645251076,33.36868970173492,7.052086872276218,7.0,101.0,10.0,,,Mercoledì,True,1026.068286141725
5515.772832184535,111.14626152890924,1.5849682570623118,10.0,100.0,7.0,Strada Provinciale,Notte,Sabato,True,1092.515430761135
3489.0676607500664,,8.336102281183035,8.0,108.0,9.0,Strada Provinciale,Pomeriggio,Venerdì,False,689.050297339367
4940.359741579574,89.95960213382386,6.467762399942501,10.0,116.0,10.0,Strada Provinciale,Pomeriggio,Venerdì,False,981.0163168225151
2758.835870482926,26.646660487742324,3.1037359720558197,5.0,108.0,6.0,Strada Urbana,Sera,Sabato,False,550.0336288394277
6713.603561636011,66.3586686276591,4.188606281279799,10.0,106.0,13.0,Strada Urbana,Sera,Venerdì,True,1337.3414273488204
4383.592881121399,73.56534983723031,3.950916185183087,7.0,93.0,4.0,Strada Urbana,Pomeriggio,Venerdì,False,870.5473160961117
5756.2505644090115,27.92990425941702,3.70020263542279,10.0,100.0,11.0,Strada Urbana,Sera,Giovedì,True,1149.5671832464875
4786.190325588961,85.73681441619027,,10.0,97.0,5.0,Autostrada,Sera,Lunedì,False,950.5005778407907
5616.734400413822,113.59625509936974,8.040297335709482,8.0,106.0,6.0,Autostrada,Notte,Giovedì,True,1114.3993437735405
6518.185943284803,119.69479790048227,4.33498948762922,4.0,,5.0,Strada Urbana,Notte,Venerdì,True,1292.9682057132013
6153.055501180311,117.84432680507854,0.9897345598989808,10.0,98.0,9.0,,Notte,Lunedì,True,1219.123587923524
4640.51214047415,63.46732604619219,3.0045011607009178,9.0,100.0,9.0,Autostrada,Notte,Martedì,False,922.6570458384211
4219.02669054907,112.71318733249193,2.6572743465171462,7.0,189.9595394490244,12.0,Autostrada,Sera,Domenica,False,833.3312016805199
6511.241056337376,61.97857647687575,8.25470880323117,10.0,108.0,9.0,Strada Urbana,Notte,Giovedì,True,1297.748693218503
5168.435592794304,106.42664048183623,2.8941430489517916,8.0,,12.0,Strada Provinciale,Notte,Mercoledì,True,1023.9126974253628
5691.288250813648,108.71868656773184,5.104803469241967,10.0,104.0,11.0,Autostrada,Pomeriggio,Martedì,True,1128.9172225467291
5402.241958401005,11.41328538344348,4.151662461486913,7.0,81.0,6.0,Strada Urbana,Sera,Lunedì,True,1080.5525618803026
5497.343798376853,82.3503791953605,5.5312329330639916,8.0,118.0,13.0,Strada Urbana,Pomeriggio,Mercoledì,True,1092.8930916357538
6866.496911032171,17.567424116962528,5.052313613954603,10.0,120.0,9.0,Autostrada,,Sabato,True,1373.0583338789245
4786.5929282894795,104.09208508702018,7.62885883207006,9.0,105.0,6.0,Autostrada,Sera,Venerdì,False,949.1980347988149
3764.5862782905942,,7.621617233692685,5.0,101.0,10.0,Strada Provinciale,,Venerdì,False,750.1827926634105
4746.965688862331,35.40362560254671,0.0,7.0,,13.0,Autostrada,Sera,Giovedì,False,945.8527752122116
5021.2849299914205,55.90309140398685,2.7436455696746274,4.0,109.0,9.0,Strada Provinciale,Mattina,Mercoledì,False,999.4897705287879
4242.190226055707,90.35517034834443,0.28227572139746826,6.0,105.0,,Strada Urbana,Notte,Mercoledì,False,839.4872108927262
5455.764105265354,47.705104148222595,8.267745651024644,9.0,105.0,18.953642585370954,Autostrada,Mattina,Mercoledì,True,1088.8626343335561
5203.473065737874,7.256188538694457,8.25470880323117,10.0,97.0,5.0,Strada Urbana,Notte,Giovedì,True,1041.8547055214267
5176.307326029484,83.3505374824394,8.25470880323117,10.0,97.0,5.0,Strada Provinciale,Mattina,Sabato,True,1027.5369427164594
4796.683376576968,101.74961274857937,7.9220132234309535,8.0,98.0,12.0,Strada Provinciale,Sera,Domenica,False,951.538318007565
5237.6312071413295,75.67723519679367,8.25470880323117,10.0,88.0,14.0,Autostrada,Pomeriggio,,True,1041.6290284162649
5209.09800463134,37.583416278336664,2.1687886936002974,7.0,96.0,4.0,Autostrada,Pomeriggio,Martedì,True,1038.7118959065144
4489.249436517566,80.93558778358047,3.44647863183089,5.0,101.0,7.0,Strada Provinciale,,Martedì,False,890.7902721147044
5333.762981416139,77.59800071878504,2.817805000371357,8.0,93.0,14.0,Autostrada,Pomeriggio,,True,
4712.804065642617,54.17819343924368,6.482155484295113,9.0,115.0,8.0,Strada Provinciale,Sera,Domenica,False,939.0876404298876
4402.9676835204145,41.92878518530246,6.373344485915729,,103.0,10.0,Autostrada,Pomeriggio,Venerdì,False,
4954.192995963619,,3.332332981380127,6.0,91.0,10.0,Strada Urbana,Mattina,Giovedì,False,987.3354109118807
5250.878272878058,11.24787645985213,6.063230648582156,10.0,89.0,11.0,Strada Urbana,Pomeriggio,Martedì,,1050.8698361242011
7850.518184409375,85.42628319986176,7.556790929615429,6.0,102.0,10.0,Strada Urbana,Mattina,Giovedì,False,963.5557701503674
6432.129911318166,116.20190864393948,8.773454472689554,9.0,92.0,16.0,Strada Urbana,Notte,Lunedì,True,1277.4378277410462
5368.478241123729,44.17446950638506,3.512696003547154,10.0,100.0,11.0,Autostrada,Mattina,Giovedì,True,1070.3320100751714
,113.96660481364783,5.48213231175485,7.0,92.0,,Autostrada,Notte,Giovedì,True,1101.9084713339746
5339.932209531456,65.13320479286776,2.96457977567258,10.0,114.0,9.0,Autostrada,Notte,Domenica,True,1062.3624953597064
7053.197815289257,84.0792027212521,7.8899580833772625,7.0,88.0,12.0,Autostrada,Mattina,Martedì,True,
4936.1390243550195,61.51790844920402,6.1027582148691035,5.0,111.0,12.0,Strada Provinciale,Pomeriggio,Lunedì,False,982.9068414905444
3950.357343314662,53.480516978883344,5.072441479294821,9.0,107.0,14.0,Autostrada,Pomeriggio,Venerdì,False,786.2451494088326
4812.434455378589,75.06506933320924,2.1469483161603087,7.0,96.0,,Autostrada,Mattina,Domenica,False,955.624468637245
5907.160834671782,7.211162074327557,3.5626198575751324,8.0,102.0,7.0,Autostrada,Mattina,Lunedì,True,1181.7798366841962
6438.860919125427,7.671558476719991,7.1540494870912905,3.0,97.0,8.0,Autostrada,Sera,Giovedì,True,1289.1512428235408
4084.8173040413158,38.213883272200334,7.04771036051634,10.0,103.0,15.0,Autostrada,Mattina,Lunedì,False,815.2563855891981
5322.239034697742,82.83635906391719,6.151595831112037,8.0,89.0,12.0,Strada Provinciale,Notte,Sabato,True,1058.0096497824902
,19.30384735253736,4.372928838291822,6.0,91.0,5.0,Autostrada,Sera,Domenica,True,1050.729832736602
4463.360059818496,93.13707869525344,6.221033915336829,10.0,95.0,10.0,Strada Urbana,Mattina,Mercoledì,False,885.2246142687749
5634.9326770556,106.84997446665459,5.122578602441034,10.0,101.0,10.0,Autostrada,Pomeriggio,Domenica,,1117.838311545187
6756.206553600736,,8.013269423247136,7.0,96.0,10.0,Autostrada,Sera,Lunedì,,1351.9675454916742
4255.567298039622,99.13650083736928,3.4404588960965627,14.812342138768171,91.0,8.0,Strada Provinciale,Mattina,Martedì,False,850.2933710812612
6163.328481272405,74.15707791830621,2.91499916810582,7.0,90.0,9.0,Strada Urbana,,Domenica,True,1226.1244882130825
6543.78987861943,92.06115804957268,10.058789913016177,5.0,103.0,10.0,,Notte,Sabato,True,1302.5694968928337
4032.285690161516,93.19128570384936,2.925886485963649,6.0,103.0,7.0,Autostrada,Mattina,Venerdì,False,798.0157754077073
4060.2160319078184,62.32059089415651,1.0144524971415572,9.0,93.0,5.0,Autostrada,,Giovedì,False,806.1154830412905
3312.983583880101,36.392721484784836,2.4936740711901946,7.0,88.0,11.0,Autostrada,Mattina,Sabato,False,659.7055468488987
6325.306955051783,76.46637453654854,7.721861288271926,10.0,101.0,,Autostrada,Mattina,Lunedì,True,1259.7313119431833
4962.373321052361,5.471257187915941,3.1958009614844913,6.0,86.0,4.0,Autostrada,Pomeriggio,Giovedì,False,
5925.051498498091,45.19009216128956,5.9708725628231125,8.0,119.0,9.0,Strada Urbana,Notte,Mercoledì,True,1182.282552252336
5971.459086267518,96.07138452962236,3.495846970625691,6.0,110.0,7.0,Strada Provinciale,Notte,Lunedì,True,1185.7334328917289
5221.716968986898,58.147024762187854,3.659961883342552,3.0,89.0,14.0,Strada Provinciale,Sera,Martedì,True,1039.6266798861636
4840.10109407312,15.83307788674485,3.627585006481782,4.0,93.0,10.0,Strada Urbana,Sera,Lunedì,False,967.5251865278941
5637.887701663143,73.19429150937412,3.4533520596231906,7.0,105.0,7.0,Strada Provinciale,Sera,Venerdì,True,1121.2941167995782
4522.671619159386,85.57486717111581,5.661624388881779,8.0,,8.0,Autostrada,Sera,Venerdì,,897.6753244314302
3782.6655831345147,26.765648476569552,7.126691556239173,2.0,108.0,7.0,Strada Urbana,Pomeriggio,Mercoledì,False,755.9945592461177
