Tasso di Mortalità,Numero di Visite Ospedaliere,Incidenza di Malattie Cardiovascolari,Fascia di Età,Stato di Salute,Numero di Vaccinazioni,Tipo di Malattia,Area Geografica,Stato Economico,Emergenza Sanitaria,Predict
2.414714645749742,3204.7390951147136,183.88067890245728,2.0,1.0,102.0,Cardiovascolare,Nord,Medio,True,1337.6598417166226
6.029089196463704,289.33499933163466,195.0796100756373,2.0,2.0,,Oncologica,,Basso,False,174.85788275534506
5.746599238537145,1171.7441684509945,220.79027584379884,1.0,2.0,115.0,Oncologica,Centro,Medio,False,535.2347501335374
1.3426526661873268,4249.945975143371,160.85595570567855,1.0,0.0,118.0,Cardiovascolare,Centro,Basso,True,1748.535176769052
5.042145143744486,1356.7154355119637,172.4557944482416,1.0,0.0,116.0,Respiratoria,Nord,Medio,False,594.722912539258
3.389589902539201,4534.314533611386,245.43689423539521,3.0,0.0,102.0,Respiratoria,Sud,Basso,True,1429.5208657359872
4.7539966269693155,1237.0511603377327,242.0851711175271,1.0,1.0,186.7429817800367,Cardiovascolare,Centro,Basso,False,567.7460154703512
5.404878218410339,2159.343339690319,210.77787832285142,1.0,1.0,,Respiratoria,Sud,Basso,False,927.2706993729831
2.462293756201844,3219.3166594691925,231.43219914904415,2.0,0.0,118.0,Respiratoria,Nord,Basso,True,1357.7563235323903
5.002553708519707,,185.9982022247531,3.0,0.0,101.0,Cardiovascolare,Centro,,True,1812.3680260126712
5.549910334088373,3586.713769538814,,3.0,0.0,87.0,Cardiovascolare,Sud,Basso,,1495.181324273042
6.0432566385468185,1657.8359026042667,122.5449137637108,2.0,1.0,111.0,Oncologica,Sud,Basso,False,700.4978351708199
3.723261786423058,328.3161674584506,65.87755275748438,0.0,1.0,95.0,Respiratoria,Centro,,False,151.08973281062555
5.896962231215372,2233.9268362959697,156.88070966199817,1.0,0.0,87.0,Oncologica,,Basso,False,940.9349474169873
7.5831083021120556,2780.965132644005,231.0872920755677,1.0,0.0,115.0,Respiratoria,Nord,Medio,True,1182.012240680272
5.217874243504174,,209.16684636436497,1.0,2.0,97.0,Cardiovascolare,Centro,Alto,True,1611.9468161162051
3.4095183495725783,3292.7215724113394,359.8766595522163,1.0,1.0,109.0,Respiratoria,Nord,Basso,True,
5.546564902105437,758.0341578569883,224.94840911716975,4.0,0.0,103.0,Cardiovascolare,Centro,,False,371.8981858779462
5.535271590516937,4350.386347664274,,1.0,1.0,103.0,Oncologica,Centro,Medio,True,1816.8493937675332
3.5147190409803004,891.529037162565,69.26699389479646,3.0,1.0,109.0,Cardiovascolare,Sud,Basso,False,378.29171303346493
5.527568142088307,3784.1647026876967,159.54963992558785,1.0,2.0,86.0,Respiratoria,Centro,Medio,True,1561.830773052755
2.271144970348451,409.8588532326297,264.1785742308248,2.0,1.0,111.0,Respiratoria,Centro,Medio,False,243.79711356229933
3.867902720991442,2397.512169845857,164.60519476763176,2.0,2.0,103.0,Respiratoria,Nord,Basso,False,1008.9864263686324
5.693588961439354,2458.1879620661234,190.8899121337602,1.0,1.0,,Cardiovascolare,Centro,Medio,False,1040.8421584665773
7.826738870916493,964.2682338603493,,1.0,0.0,88.0,Oncologica,Nord,Medio,False,447.89185694807463
5.378630203045001,2105.5256618242206,231.42141870598476,1.0,0.0,114.0,Cardiovascolare,Nord,Basso,False,911.9366903414837
4.2278357082281985,1568.1327100327508,349.1364080182168,3.0,1.0,100.0,Respiratoria,Sud,Medio,False,732.8940064185654
3.977201852822203,28.80159847308661,202.974712938523,3.0,0.0,186.7429817800367,Cardiovascolare,Sud,Basso,False,73.31305327079156
6.616724860457934,583.0108129880418,170.48610629601427,3.4681885355182986,1.0,105.0,Respiratoria,Centro,Medio,False,284.95015708402104
6.081271600761042,2702.3716619402753,206.70550515662168,1.0,1.0,,Respiratoria,Centro,Medio,True,1143.2603163230967
2.6834611456233883,1380.3237550719405,211.06694700744512,2.0,1.0,92.0,Respiratoria,Sud,Medio,False,616.0495861310097
3.173952437330237,4382.919688955677,243.67974082341698,1.0,0.0,91.0,Cardiovascolare,Centro,Medio,True,1826.571797829296
3.872212851009259,3587.1361423751223,205.3107440467484,3.4681885355182986,2.0,95.0,Respiratoria,,Basso,True,1496.7476801640735
7.076959126721352,3735.1601115042986,237.4204223945158,3.0,2.0,186.7429817800367,Cardiovascolare,Sud,Basso,True,1566.1901713200743
3.4814396985503366,4658.446856739053,221.36982709912016,,1.0,,Cardiovascolare,Nord,Medio,True,1930.6896908253575
4.993663370626384,2284.4287080561676,217.52802826367272,2.0,0.0,126.0,Respiratoria,Nord,Basso,False,979.6298917015689
6.325092005586377,1152.393528433776,93.66658806331334,3.0,0.0,129.0,Oncologica,Sud,Medio,,489.95738779250445
2.5113609060773,4840.024884061631,126.86925186076631,3.0,0.0,102.0,Oncologica,Sud,Medio,True,1974.9707291828825
5.083813699527272,293.9249452502191,247.81885191970326,3.0,1.0,95.0,Cardiovascolare,,Medio,False,192.8156336759986
6.791302052838727,4496.247463882455,175.0072163100033,4.0,1.0,101.0,Respiratoria,,Basso,True,1852.201150445983
3.8935690507007297,3621.972580302098,317.90993918477943,0.0,1.0,104.0,Oncologica,Sud,Alto,True,1544.162013876273
4.269252554228842,4534.314533611386,239.49258825519155,0.0,0.0,112.0,Cardiovascolare,Sud,Medio,False,520.5790166132864
3.178740454658784,4122.477161546888,176.527096860983,1.0,2.0,91.0,,Centro,Medio,True,1702.24899367705
5.997733304734323,2201.246641062502,271.24214120226486,1.0,1.0,102.0,Respiratoria,Nord,Medio,False,962.1712987856803
2.50888867491892,3942.353552786281,228.15010236276785,1.0,0.0,186.7429817800367,Cardiovascolare,Sud,Medio,True,1645.6864518233426
4.989743913332483,287.82613940836256,210.43548134305203,3.0,0.0,95.0,Oncologica,Nord,Basso,False,
3.341411744903591,3107.7621847643836,161.02589542073412,2.0,0.0,92.0,Oncologica,Centro,Basso,True,1292.0126425319736
5.911100458260498,701.9303770401908,261.40522556671453,1.0,1.0,110.0,Respiratoria,Sud,,False,359.4937184860907
1.7671602619606706,2881.1345367996296,228.1194385848721,1.0,1.0,90.0,Oncologica,Centro,Medio,True,1221.1896462953134
2.9733162955489902,1860.164493760149,240.9933789489258,0.0,0.0,113.0,Respiratoria,Nord,Basso,False,816.3638111887374
6.153791838007766,3621.880318810677,223.35573164339226,1.0,0.0,112.0,Cardiovascolare,Nord,Alto,True,1516.0588470172886
3.806498589709432,2968.3851054835823,277.4336992540351,2.0,1.0,115.0,Respiratoria,Sud,Basso,True,1271.1841519696434
4.569338487137773,4293.202154482684,132.05901175322407,3.0,1.0,95.0,Cardiovascolare,Sud,Basso,True,1757.798565319041
3.8695297769381054,422.2393133603747,124.16941165112493,4.0,0.0,101.0,Cardiovascolare,Sud,Medio,False,207.34654883948735
6.240271012192959,2087.4476525488813,237.38560962761107,3.0,1.0,95.0,Respiratoria,Sud,Basso,False,907.0947439078359
4.610053883682682,1031.4293872615115,217.4427020407725,0.0,0.0,113.0,,Centro,Medio,False,477.80456551683636
4.380530170873501,2595.674660648417,171.68141988377295,3.0,1.0,,Cardiovascolare,Sud,Basso,True,1090.674290224499
6.915767902463033,4239.5105076343625,234.97241500321374,0.0,1.0,101.0,Cardiovascolare,Nord,Medio,True,1766.2959275547094
6.5465122513812215,4449.493474130914,234.68511770611536,3.4681885355182986,0.0,101.0,Cardiovascolare,Centro,Medio,True,1850.8029249642004
4.4309625072750976,4102.259413863084,223.63695488536413,4.0,,94.0,Respiratoria,Sud,Alto,True,1709.1948520108429
3.2405106192887465,2037.349440009028,194.56536422698161,1.0,1.0,95.0,Cardiovascolare,Sud,Medio,False,873.6093852717057
5.572259255312264,3389.3661925568786,240.80550151213916,2.0,1.0,,Respiratoria,Centro,Alto,True,1428.5881274763933
6.814034474290094,165.41940802511922,195.10568237629994,1.0,0.0,91.0,Cardiovascolare,Centro,Medio,False,124.99946792293767
,3614.6590501548603,139.0378046346845,0.0,,103.0,Cardiovascolare,Sud,Basso,True,1487.5749614523495
3.867012237187694,4974.172353827348,125.82827668139585,3.0,2.0,,Respiratoria,Nord,Alto,True,2028.3174245353582
4.950686017368338,4741.0352516110925,204.47890961737653,3.0,3.0,99.0,Respiratoria,Centro,Alto,True,1958.65777352965
6.572332316923628,4534.314533611386,179.73384456596767,1.0,1.0,84.0,Oncologica,Sud,Medio,False,528.9295512093779
6.684943412370506,2753.4595755020237,218.34138663190376,4.0,1.0,95.0,Cardiovascolare,Nord,Basso,True,1168.0862461903807
6.987849146744463,23.995368039859134,182.7157178731468,1.0,0.0,105.0,Cardiovascolare,Sud,Basso,False,64.71286257788768
4.913393235622509,2474.3368547513583,98.28190722755379,,1.0,95.0,Respiratoria,,Alto,False,1019.8193140688095
3.9939269295503,73.53190272723242,239.30732582426106,2.0,3.0,99.0,Respiratoria,Centro,Basso,False,101.80495883817127
3.662892091900344,4066.2196307646686,,,1.0,94.0,Cardiovascolare,Nord,Basso,True,1698.0630203957421
4.243985297343334,16.66593075652645,184.9289771938447,1.0,2.0,91.0,Respiratoria,Sud,Medio,False,62.44506546076399
6.400832431986273,4129.451629433599,,3.0,0.0,90.0,Respiratoria,Nord,Basso,,1698.477329558844
6.678806281088406,3137.1158548220633,158.8910097910798,3.0,1.0,90.0,Cardiovascolare,Nord,Basso,True,
3.200951949315469,681.0601670481542,153.39348164551438,1.0,1.0,102.0,Oncologica,Centro,Basso,False,318.742111312916
4.122143530610477,4158.289593831145,190.88588919786457,3.0,1.0,103.0,Respiratoria,Centro,Medio,True,1721.4816042918176
4.424826339148833,969.6840927555056,194.6960225766313,3.4681885355182986,1.0,110.0,Cardiovascolare,Sud,Medio,False,446.2824438751917
3.132470887417052,3412.1123745778004,194.02153800522407,1.0,2.0,107.0,Respiratoria,Centro,Medio,True,1423.3514112326873
5.889339804037134,1992.2400311237104,184.4982748451319,4.0,2.0,109.0,Cardiovascolare,Centro,Basso,False,853.4454949030239
9.92928271666405,4194.570714100944,170.69499711555278,0.0,2.0,101.0,,Centro,Medio,True,1729.0367847750435
9.92928271666405,1164.6075098891617,,,0.0,94.0,Cardiovascolare,Nord,Basso,False,500.3904773470673
9.92928271666405,426.28751001197065,234.2248463466464,2.0,3.0,88.0,Oncologica,Centro,Medio,False,241.3824579087822
2.36584731227029,4014.6400895681954,138.53262493384221,1.0,1.0,95.0,Cardiovascolare,Sud,Basso,True,1647.7158233074308
3.5021737097025047,,241.36848392178211,0.0,1.0,101.0,Cardiovascolare,Centro,Alto,False,
2.954540184823871,4778.914118274987,190.78941840692434,2.0,0.0,106.0,Respiratoria,Nord,Basso,True,1969.4024728320721
2.0023747097543994,2142.127073099402,226.8197738305463,2.0,2.0,118.0,Cardiovascolare,Centro,Medio,,925.4967613889247
5.932823374589216,27.9595478574568,154.74886237273068,0.0,2.0,105.0,Respiratoria,Nord,Basso,False,57.608477854801926
4.120197518148384,4331.464602432708,213.65471458519838,4.0,1.0,87.0,Cardiovascolare,Centro,,True,1797.8822553486427
6.572300148191202,2016.7690094424117,209.2918777365735,2.0,1.0,99.0,Cardiovascolare,,Alto,False,870.0951670979368
6.931632900220879,1510.1258208397967,142.50522906312943,4.0,1.0,98.0,Oncologica,Sud,Basso,False,648.0018970548576
5.140153822845839,2967.4701293795306,167.4593853910097,2.0,2.0,88.0,Oncologica,Sud,Basso,True,1237.825867369115
3.2963110711114503,3994.5064545457267,394.5615393481845,4.0,0.0,95.0,Cardiovascolare,Sud,Medio,True,1676.3993283502195
5.859772203885001,,175.0327366932558,1.0,,116.0,,Centro,Basso,True,1336.0352327716575
5.07072051708935,3532.5323123748904,200.90142799095503,1.0,4.0,99.0,Oncologica,Nord,Basso,True,1473.5833533472426
5.475111111745091,,149.60484500187326,4.0,0.0,98.0,Respiratoria,Centro,Basso,False,
5.475030669549711,1245.4141700033317,155.3642986840892,0.0,1.0,97.0,Cardiovascolare,Centro,Medio,False,544.7749576065595
7.895951904419267,819.7870735089385,198.04265931858436,2.0,2.0,106.0,Cardiovascolare,Centro,,False,387.9276271991507
5.0563496259218095,1332.5069472960931,262.77249519244174,1.0,2.0,97.0,Cardiovascolare,Nord,,False,612.1345274761698
2.8652565933360097,520.7865852512855,233.78416626313606,2.0,1.6392105038537175,91.0,Respiratoria,Centro,,False,279.04988397945505
4.476390442778763,4118.797497957473,224.99752476519936,0.0,1.0,89.0,Oncologica,Nord,Basso,True,1715.018256612549
6.133367385810139,4534.314533611386,319.376018028363,2.0,2.0,104.0,Respiratoria,Sud,Medio,True,1585.151795196197
5.120787673625287,3204.667720199802,229.0806780656429,3.0,2.0,104.0,Cardiovascolare,Sud,Alto,True,1351.491291499614
9.92928271666405,1027.5249807023006,296.9926291714111,1.0,1.0,102.0,Respiratoria,Nord,Basso,False,500.4077810323436
5.244473134530187,462.95254591474765,243.42134847134477,1.0,0.0,100.0,Cardiovascolare,Sud,Basso,False,258.5074229073025
9.92928271666405,1110.928076575281,107.90034708536852,1.0,0.0,93.0,,Sud,,False,477.041334755723
3.7469963156873076,3206.8798190723724,120.61751760374949,2.0,0.0,107.0,,Nord,Medio,True,1319.5371829100739
7.946246279906332,2903.221925302856,162.35735053877772,2.0,1.0,87.0,,Nord,Medio,True,1210.5959752827757
3.382502776310513,1805.07307040909,136.23512264192271,4.0,3.0,96.0,,Centro,Alto,False,764.0997649562129
4.893692955410002,3496.519380489503,220.097089635169,2.0,2.0,106.0,Cardiovascolare,Nord,Basso,True,1465.236879086352
7.91518727202414,2204.012090124569,128.80883819628627,2.0,1.0,94.0,Oncologica,Sud,Alto,,920.8474875087136
4.098472491500525,3559.8251313904384,192.77015954551942,1.0,,93.0,Cardiovascolare,Nord,Basso,True,1482.0611004198313
4.399936557691565,2136.060889800231,234.47024641692627,3.0,0.0,100.0,Cardiovascolare,Nord,Medio,False,925.6654298451704
2.1870956493389118,2679.0989189087395,130.4809478582518,4.0,2.0,102.0,Cardiovascolare,Nord,Medio,True,1111.9838519209713
2.9588888482731237,1104.3656957897585,183.37723802820395,1.0,0.0,98.0,Cardiovascolare,Sud,Alto,False,2059.6077638885827
4.758984163861553,1288.8266216718825,230.37662932355636,4.0,0.0,110.0,Oncologica,Nord,Basso,False,585.84363746582
7.740127026499522,4787.95804253651,302.58979999829046,,2.0,101.0,Cardiovascolare,Nord,,True,2006.5601570140914
5.870870997194709,3534.9061335163174,212.72118358103432,1.0,1.0,130.0,Cardiovascolare,Sud,Medio,True,1478.078808480837
5.631202493770867,1408.823468950491,190.12706704532224,1.0,,93.0,Cardiovascolare,Sud,Medio,False,620.867507693793
6.882033135476352,450.09621999930306,257.8540255490868,0.0,1.0,93.0,Cardiovascolare,Nord,Basso,False,257.3946956644473
3.2227320481106183,2953.7948208256425,240.1457743430313,0.0,1.0,102.0,Cardiovascolare,Sud,Alto,True,1253.5616606331664
6.271975474865789,975.7287988674412,269.57773963777026,0.0,2.0,86.0,,Centro,Medio,False,
2.324244689382887,4784.277055107487,219.06980057981394,0.0,1.0,101.0,Oncologica,Nord,Basso,True,1979.4317622169392
6.437360219771943,4373.340907565169,173.0836095148345,,1.0,102.0,Oncologica,Centro,Medio,True,1802.161445880518
3.0541672348955387,,164.56773756635215,1.0,1.0,91.0,Oncologica,Nord,Medio,True,1281.5911107587178
5.144287451536056,3708.1440376272203,255.42647565621127,2.0,0.0,102.0,Cardiovascolare,Centro,Basso,True,2059.6077638885827
4.062840177364718,4785.1012775290665,167.28054723243494,3.0,0.0,100.0,Respiratoria,Sud,Medio,True,1965.1246751813574
4.816337069288856,3602.0088597460835,,1.0,2.0,108.0,Oncologica,Nord,Alto,True,1515.785404337159
3.6666937147309557,68.24290440906378,197.459027850283,1.0,1.0,94.0,,Nord,Medio,,86.83487011871041
3.0963354256873803,962.1166835365441,196.15649080904996,1.0,0.0,110.0,Cardiovascolare,,Basso,False,443.99362065733266
4.466433797956509,4104.867124433275,197.09138095566024,2.0,,84.0,Respiratoria,Sud,Alto,True,2059.6077638885827
3.864731208771518,,137.7493631406714,2.0,0.0,96.0,Oncologica,Centro,,False,856.5600437621331
3.3405643666779916,4524.09027703696,226.0254219591967,3.0,0.0,103.0,Oncologica,Centro,Medio,True,1878.3437374025432
4.004755409591488,4846.786130519879,,3.0,1.0,99.0,Respiratoria,Nord,Medio,True,2018.0666629384596
5.465021060182975,548.4940431263158,210.88016568030983,,0.0,102.0,Oncologica,Sud,Alto,False,282.66166695461925
6.87369838632296,4553.599728065875,237.72318574225804,1.0,0.0,100.0,Oncologica,Centro,Alto,True,1893.0568469490274
5.223195566915376,1790.5292543986895,210.93794280235517,3.0,2.0,116.0,Cardiovascolare,Centro,Basso,False,780.3930846001824
4.504575997842148,1159.7845531433882,203.02472809355473,1.0,0.0,97.0,Respiratoria,Centro,Alto,False,525.1212396854216
6.270834283906794,1492.3257788198164,172.34339667061366,2.0,1.0,95.0,Cardiovascolare,Nord,Medio,False,
6.1880413733659125,863.6641648458909,256.1156911408502,1.0,0.0,115.0,Respiratoria,,Medio,False,422.60037328061145
4.425069653261845,578.8491954686048,166.71599912906962,1.0,5.0,89.0,Cardiovascolare,,Medio,False,281.8544779261628
4.30847774093173,3989.827269211124,126.88697061178858,1.0,2.0,99.0,Cardiovascolare,Sud,Medio,True,1634.2969988679863
4.440810251798749,962.4312298951404,209.05683080180415,4.0,1.0,97.0,Cardiovascolare,Sud,,False,448.88954119859744
6.520154704516685,1075.3296620985025,179.49571189736218,3.0,0.0,107.0,Cardiovascolare,Sud,Alto,False,484.88057840860967
3.7296384790713235,4886.7952442083915,152.44658370149563,4.0,1.0,91.0,Respiratoria,Sud,Alto,True,2001.6520727938055
5.53910336921526,3106.4675330058235,137.98445849290988,4.0,1.0,103.0,Cardiovascolare,Centro,Medio,True,1285.1823507502024
4.545698778098673,956.20620494336,212.15755675484723,3.0,1.0,102.0,Cardiovascolare,Sud,Medio,,447.0297490037982
4.749088180095761,4663.113006740026,258.52684694160587,3.4681885355182986,0.0,111.0,Cardiovascolare,Centro,Basso,True,1943.4032567784923
4.411190705376919,3354.5197546163326,149.34200036093654,3.4681885355182986,0.0,95.0,Cardiovascolare,,Medio,True,1386.6105019548143
7.28436551383699,1427.5618937721845,225.93213949257427,3.0,2.0,121.0,Oncologica,Centro,Alto,False,639.704399356646
4.6725835414235775,3838.0782499570905,249.91717167396015,2.0,0.0,104.0,Cardiovascolare,Nord,Basso,True,1610.8064514850244
6.318605715862458,3985.8568034567165,172.42263612079554,,2.0,96.0,,Nord,Basso,True,1647.2695122189255
5.41970230801598,1658.819551371904,224.98024416860144,3.0,1.0,96.0,Cardiovascolare,Nord,Medio,False,731.921893799342
,199.96817721797956,230.38040440207195,,1.0,97.0,Oncologica,Sud,Medio,False,150.3013922078134
6.146933977254905,572.2774023081878,207.31554946154256,2.0,0.0,99.0,Cardiovascolare,Nord,Medio,False,291.7056257617379
5.111281889804726,4534.314533611386,269.8169269662395,2.0,1.0,82.0,Cardiovascolare,Nord,Alto,False,399.5939776551847
4.601962534769732,2056.5069713767657,226.72334394623715,1.0,2.0,104.0,Cardiovascolare,Centro,Basso,False,890.9197917345774
5.322190790573158,4651.3115101504,186.60200812915525,1.0,0.0,100.0,Cardiovascolare,Sud,Alto,True,1916.8052064989065
3.968379594268366,1215.2358590995016,193.64236186390644,1.0,0.0,104.0,Oncologica,,Basso,False,544.4870521989725
5.483167722958143,1977.389777826597,166.84111919610507,1.0,1.0,101.0,Oncologica,Sud,Medio,False,841.3082468894704
7.078686670035836,4575.0330287114575,121.10780137193,2.0,0.0,94.0,Cardiovascolare,Centro,Basso,True,1866.945551896162
5.815387424486675,544.1236290876355,244.9925257289938,4.0,1.0,99.0,Cardiovascolare,Centro,Basso,False,
4.242697052911442,3456.73929049249,187.54715636182465,1.0,0.0,106.0,Oncologica,Nord,Medio,True,1439.2598631055434
5.96222941793764,1846.3038578345625,165.93908010259457,3.0,1.0,113.0,Cardiovascolare,Nord,Basso,False,789.2032671646034
,4264.927365348098,234.70250656359607,0.0,1.0,93.0,Cardiovascolare,Sud,Medio,True,1776.381698108318
9.92928271666405,1059.171754727719,257.31318458070257,2.0,1.0,91.0,Oncologica,Centro,Medio,,501.4626572652984
5.293432981744616,4709.96810978818,213.23429570010944,4.0,1.0,84.0,Respiratoria,Centro,Alto,True,1949.1575326253053
5.983157134631341,624.0900168176222,214.1304192297168,1.0,1.0,98.0,Cardiovascolare,Centro,Basso,False,314.17513249596396
,3023.422323848909,235.74885021915975,4.0,1.0,186.7429817800367,Oncologica,Centro,Medio,True,1281.2935846053117
6.3389886686492565,2121.660406015041,156.50454054974364,2.0,1.0,99.0,Cardiovascolare,Nord,Medio,False,896.2155245709397
5.046936167845083,362.0616453238462,216.37768420570288,2.0,0.0,84.0,Oncologica,,Medio,False,210.33796339124936
7.966239036315162,1979.5744020733298,237.41596799473342,4.0,1.0,103.0,Cardiovascolare,Sud,Basso,False,864.254551227752
6.807221927988181,4152.473484716689,160.58658592215917,2.0,,94.0,Respiratoria,Nord,Medio,True,1709.7653696633233
1.8358095899577727,3958.8469912046153,157.36708498702055,1.0,1.0,,Respiratoria,Centro,Basso,True,1631.0489219779524
5.839629427048751,4821.4563084381525,293.65337435414267,2.0,0.0,,Respiratoria,Centro,Medio,True,2017.2785356815039
6.334696787065068,4426.440611739266,,2.0,1.0,104.0,Cardiovascolare,Centro,Alto,True,1848.961430436802
2.6214899190490577,,231.06972052835962,4.0,0.0,88.0,Oncologica,,,True,1790.8102293518148
3.2862343316413796,2046.3932176194298,201.14831827721912,3.0,1.0,77.0,Oncologica,Sud,Basso,False,879.8017825309377
4.737392496081699,1710.7941539329945,177.58632022525114,3.0,1.6392105038537175,96.0,Respiratoria,Nord,Basso,False,738.4935576407731
5.400796626164857,206.74704840538072,183.13688638515984,2.0,1.0,97.0,Oncologica,Sud,Basso,False,138.23988527770024
3.4025199808952165,1981.5606422473074,120.29180410716857,1.0,2.0,93.0,Respiratoria,Sud,,False,829.0117981310735
5.75716416504001,,,1.0,2.0,85.0,Cardiovascolare,Centro,Basso,True,1778.2002273195967
6.038776864426691,2214.066907455347,177.87213868396185,4.0,0.0,107.0,Cardiovascolare,Sud,Medio,False,940.1884045873275
,,237.3026139313839,3.0,0.0,111.0,,Nord,Basso,True,1859.0653906413504
2.999654056495919,2580.3005136440975,248.882951651708,0.0,2.0,107.0,Oncologica,Centro,Basso,True,1106.7850909531514
4.582607889242981,539.5708029702184,257.4928485440156,4.0,2.0,108.0,Oncologica,Nord,Alto,False,294.27617575129204
5.91896452459104,211.8338538393544,162.88894058991832,4.0,2.0,106.0,Cardiovascolare,Sud,Medio,False,134.80022371271724
5.164314738236751,1427.017775136275,261.0214604656366,2.0,0.0,102.0,Oncologica,Sud,Basso,False,649.713548194201
5.408257141817152,1655.700078174012,146.29725528568858,4.0,0.0,93.0,Respiratoria,Centro,Alto,False,707.3692078553115
6.070449393344985,2265.001321756195,191.6157155296049,,2.0,89.0,Respiratoria,Nord,Basso,False,964.6852433613595
6.734654718636588,254.495560018963,238.32427166061257,2.0,1.0,93.0,Cardiovascolare,Centro,Medio,False,173.89550550576897
2.2229748798814066,362.0561427279184,148.14301115086866,1.0,0.0,125.0,Respiratoria,Centro,Basso,False,189.56536043642797
,2294.5840593859357,146.22869421394194,3.0,0.0,85.0,Respiratoria,Centro,Medio,False,962.602232018557
3.926531544259592,2739.3831478810876,245.59909577433154,1.0,3.0,104.0,Cardiovascolare,Nord,Alto,True,1169.7329878847345
8.896890540076486,4442.255327638956,231.6366596879234,2.0,0.0,101.0,Cardiovascolare,Centro,Medio,True,1846.9931289619597
5.329698099901867,1069.453626507834,148.38456463404967,1.0,2.0,99.0,Oncologica,Sud,Medio,False,472.59681999334856
6.972252788565761,863.7715310282712,222.13445310097555,3.0,0.0,100.0,Cardiovascolare,Nord,Basso,False,413.04894834160115
6.053340240168698,432.76045546072396,182.90513859967345,3.0,1.6392105038537175,93.0,Cardiovascolare,Nord,Basso,False,228.87572376419163
5.506061150368984,2212.8977338649293,105.39983080910359,1.0,0.0,115.0,Cardiovascolare,Nord,Alto,False,917.0790427887027
4.561913415081785,3231.0096882714865,254.3858825039287,2.0,0.0,97.0,Oncologica,Nord,Alto,True,
3.9279555583213535,4883.111526811931,229.99939466963508,2.0,1.0,114.0,Cardiovascolare,Centro,Basso,True,2022.8444291256628
,,281.0078280155984,3.0,1.0,107.0,Cardiovascolare,Nord,Basso,True,1468.0140707433347
7.490718187343998,939.3002658729133,231.25201073213853,1.0,1.0,112.0,Respiratoria,Centro,Basso,False,445.3957095688069
5.7272273488088175,4183.446647462991,158.7762710195202,1.0,1.0,92.0,Respiratoria,Sud,Basso,True,1721.3115402910523
4.005711375381294,865.1621055193775,,3.0,0.0,104.0,Respiratoria,Nord,Medio,False,411.1272150117933
7.482132480849042,1191.1317138209708,186.91770726305643,3.0,0.0,113.0,Cardiovascolare,,Basso,False,533.4279977073053
2.2843213290594826,4534.314533611386,182.09798712310783,2.0,1.0,94.0,Cardiovascolare,Sud,Basso,True,1682.8283820290587
6.935169501582584,4461.758631268385,155.27983215264848,2.0,0.0,186.7429817800367,Cardiovascolare,Centro,Basso,True,1831.8874021531485
4.623920056275417,4532.188432603937,164.8334427412634,3.0,1.0,79.0,Cardiovascolare,Sud,Basso,True,1863.225405863954
2.6873133506034845,1361.6821257965905,256.37492612493077,4.0,1.0,91.0,Respiratoria,Sud,Basso,False,622.7853281561156
6.934172829460395,4356.593457905376,208.31419048509443,2.0,1.0,109.0,Respiratoria,Centro,Basso,True,1805.7316403076788
