Consumo Giornaliero (kWh),Numero di Abitazioni,Temperatura Media Giornaliera,Tipo di Settore,Fascia Oraria,Consumo per Settore,Giorno della Settimana,Fonte di Energia,Tipo di Contratto,Efficienza Energetica,Predict
2514.737007155933,6846.762379213696,20.486060070593588,1.0,1.0,1016.0,Domenica,Eolica,Commerciale,True,1263.7143215991446
2104.8171239760354,2198.211322860546,17.069438674732883,1.0,1.0,987.0,Mercoledì,Eolica,Commerciale,True,1057.7293935904377
2082.72000246791,6658.494902902311,6.842265526562043,1.0,1.0,1037.0,Lunedì,Fossile,Residenziale,True,1043.6126808919237
1385.39601689842,6013.948769046866,3.5546104872667055,1.0,,1022.0,Martedì,Eolica,Commerciale,False,694.1643915953899
1699.7642830438795,1657.2707605361525,22.726447101101623,0.0,1.0,954.0,Mercoledì,Eolica,Commerciale,False,856.9000756522703
1768.4743566285856,3657.614877404126,16.498105217839015,2.0,2.0,1016.0,Sabato,Fossile,Residenziale,False,889.5866098796445
2971.247931546496,1768.2229824588846,14.874570693608534,1.0,1.0,953.0,Martedì,Eolica,Commerciale,,1490.2863369813306
2616.9432382294403,7467.7033014561575,11.036075888809993,1.0,1.0,971.0,Lunedì,Solare,Commerciale,True,1311.9824418813632
1189.4894823028876,8167.669765587834,8.291149201737724,0.0,2.0,1019.0,Sabato,Solare,,False,597.6320859119651
1594.6973889689389,5801.437055677664,10.264238109590435,0.0,1.0,,Mercoledì,Eolica,Industriale,False,800.6279659173466
1769.3031518749115,3106.579565100639,,1.0,3.0,972.0,Mercoledì,Solare,Commerciale,False,888.3852236275861
1524.7614001118407,2609.403877805915,15.969519209179667,2.0,0.0,933.0,Sabato,Solare,,False,767.1715558186743
1974.252923047002,6067.416138349507,25.312192518108844,0.0,0.0,1027.0,Martedì,Solare,Residenziale,False,994.7201192789337
1982.0634299153285,9422.108187974705,7.008236439461159,1.0,0.0,1021.0,Giovedì,Solare,Commerciale,False,993.1341858895025
2984.1147742685844,1051.6106175429395,15.427999520979808,1.0,2.0,1026.0,Mercoledì,Fossile,Residenziale,True,1497.0857869905863
2545.0424565666654,6438.4087483615085,20.675666192925334,0.0,1.0,977.0,Lunedì,Eolica,Commerciale,True,1278.9239281412104
2353.0375419914926,9253.551597769218,10.787385931037981,2.0,1.0,1024.0,Lunedì,Fossile,Residenziale,True,1179.9549867750577
1800.1598923684714,2667.38035580392,16.223639486980137,0.0,0.0,974.0,Giovedì,,Commerciale,False,904.9470380303297
1391.225845103487,,23.611381913240102,0.0,0.0,989.0,Giovedì,Eolica,Residenziale,False,702.6963371257156
2072.9517725198657,3262.7593269801214,14.676998804212237,0.0,0.0,1088.0,Giovedì,Solare,Residenziale,,
2015.5492752348998,2683.754475154676,12.377579699319874,1.0,1.0,1026.0,Giovedì,Eolica,Commerciale,True,1011.6879115272459
1699.2414843143483,5989.828270186418,15.427135122515496,0.0,1.0,956.0,Sabato,,Residenziale,False,854.4488826939289
1895.2229496049333,3941.531988946708,13.67993446257756,2.0,1.0,988.0,Venerdì,Fossile,Residenziale,False,1899.3282325649698
2196.7565772576645,3437.170185343702,4.030019864396703,2.0,2.0,988.0,Mercoledì,Eolica,Residenziale,True,1099.9872945881514
2975.258461906656,7013.5269925694965,17.34440142272488,0.0,0.0,1016.0,Martedì,Solare,Residenziale,True,1492.8325513801456
1920.2254337833867,6947.486103465201,12.362305071589955,2.0,1.0,,Domenica,Idroelettrica,Commerciale,False,1899.3282325649698
2117.1044710918645,2874.221709127641,16.94843658678608,0.0,1.0,1000.0,Giovedì,Eolica,Residenziale,True,1063.8367665219682
2442.0059995462234,9724.147181401322,12.617016561687361,0.0,0.0,946.0,Giovedì,Fossile,Residenziale,True,1224.7881047416179
976.7549141359724,4812.735379961173,21.9773648023627,0.0,1.0,974.0,Venerdì,Solare,Industriale,False,495.170666508695
2045.205746872714,,10.14060484867457,1.0,0.0,984.0,Mercoledì,Eolica,Residenziale,True,1025.6450548909593
2664.6407658954686,5564.7563723572675,18.609111545346476,2.0,1.0,988.0,Lunedì,,Residenziale,True,1338.1031164113383
1800.0395988968107,3663.265349560504,11.893176794484257,0.0,1.0,982.0,Venerdì,Eolica,Commerciale,,903.7877524867507
1552.3351242754327,1066.9787446167634,6.005463890618152,0.0,1.0,1009.0,Domenica,Eolica,Commerciale,False,778.1692013049019
1931.5912283851687,319.32788884677655,11.92249163033309,0.0,,1050.0,Domenica,Fossile,Industriale,False,969.5723616816844
2036.2034184511242,4659.7351293509555,21.82101392925637,2.0,0.0,996.0,Sabato,Idroelettrica,Residenziale,True,1024.648013404339
2799.8572043101217,3004.668787624154,22.761639625951553,2.0,1.0,970.0,Domenica,Eolica,Industriale,True,1406.9570940428464
1325.5137022508911,8375.129576406214,12.090479212497584,2.0,,964.0,Venerdì,Fossile,Industriale,False,666.3839948891948
,8820.282290325958,18.427784009702144,1.0,3.0,1062.0,Domenica,Eolica,Residenziale,False,999.2010123818068
1765.0744045702963,2993.8567720303777,13.527853097406718,0.0,1.0,963.0,,Idroelettrica,Residenziale,False,886.7955582143702
786.8600251638452,1820.9543691514552,14.974044051018325,0.0,0.0,1010.0,Giovedì,Fossile,Industriale,False,397.92222579722807
2038.7346893992753,56.5053078937261,15.180178975528907,0.0,1.0,994.0,Domenica,Eolica,,True,1024.1213983922964
2867.6288592945284,1646.6569569712985,13.499331030147246,0.0,2.0,960.0,Martedì,Fossile,Commerciale,,1438.2642289563084
1560.4297407385807,3976.1895032413277,8.263034929431894,0.0,,1016.0,Sabato,Fossile,Residenziale,False,783.0937808481199
1594.6399233111233,1520.0119104591415,21.193025367124996,0.0,3.0,998.0,Sabato,Eolica,Commerciale,False,804.2778692656992
2497.666992010866,6233.787650656083,15.834991977126462,2.0,2.0,996.0,Martedì,Fossile,Industriale,True,1253.983993598571
1671.2936263456056,7436.059759988023,5.722042540068424,0.0,2.0,1524.5284221994536,Sabato,Eolica,Residenziale,False,837.7634259348233
3053.947082534686,1698.3674640505862,19.99398823308419,1.0,4.0,1048.0,Mercoledì,Solare,Commerciale,True,1533.7717377372683
1774.7519970021815,3021.110615075966,,0.0,1.0,,Mercoledì,Idroelettrica,Residenziale,False,891.6589677580715
2394.6635020228255,1109.0987666920605,,0.0,1.0,1038.0,Mercoledì,Fossile,Residenziale,True,1201.8662680736688
1356.7381828901962,937.3706445986729,,2.0,2.0,980.0,Sabato,Idroelettrica,Residenziale,False,680.3588657318952
1363.5087665973128,1784.5230134889334,17.781102430654904,1.0,1.0,1002.0,,Eolica,Commerciale,False,687.288714027853
2704.7790803355824,8649.123157276434,9.73804691269926,1.0,2.0,995.0,Sabato,Eolica,Residenziale,True,1355.710954241601
2503.963236486006,7585.561769440312,20.545075308032096,0.0,3.0,1063.0,Mercoledì,Solare,,True,1258.7451408354125
1210.2013243227602,1311.0052460469967,21.63838150381616,1.0,2.0,1020.0,Giovedì,,Residenziale,False,611.992176612525
1964.4074403900563,4131.692858063026,11.959027701225402,,1.0,985.0,Venerdì,Fossile,Residenziale,False,985.9914285053958
2514.266572700214,7712.054031975739,17.852239711192073,1.0,0.0,1026.0,Sabato,Fossile,Residenziale,True,1262.4889582634646
2334.630321671163,3916.9826314519028,13.803442600420478,,2.0,1019.0,Lunedì,Fossile,,True,1171.8561936157078
1911.6172327726404,1070.2524006077142,19.416792403513462,2.0,1.0,1043.0,Sabato,Eolica,Commerciale,False,961.8336541073743
1888.161302729255,539.9337522339076,24.26953522436316,2.0,2.0,936.0,Giovedì,Fossile,Residenziale,False,
1690.7742707128602,7248.990644969867,15.798374988550002,1.0,0.0,940.0,Sabato,Fossile,Residenziale,False,850.1266478529951
1594.7668335526077,4084.2986235547696,20.742332035281528,1.0,1.0,1021.0,,Idroelettrica,Commerciale,False,803.8061163868883
1943.6428314391264,1757.3785285762478,16.183616873566407,0.0,0.0,1002.0,Lunedì,Fossile,Residenziale,False,976.6765007816332
2190.7723586091947,9162.131983001254,,1.0,1.0,967.0,Martedì,Eolica,Residenziale,True,1102.261358973898
2349.4036802662677,9964.598623148857,9.75479075236364,1.0,1.0,991.0,Giovedì,Fossile,Residenziale,True,1177.828277358843
1940.2264612293845,,18.609521345930304,1.0,1.0,996.0,Lunedì,Solare,Commerciale,False,975.8960870184715
1650.7417485685955,3075.516480338416,,0.0,0.0,1010.0,Martedì,Eolica,Residenziale,False,832.1606050242913
3071.6391700221743,8553.852568299937,14.807545464094252,0.0,0.0,1042.0,Venerdì,Eolica,Residenziale,True,1540.2618486503154
3869.906700926867,47.1298534884268,17.29772773661929,2.0,2.0,1009.0,Giovedì,Solare,Residenziale,,924.3557560576545
2419.216088100961,8560.481386384588,14.442106253754254,,2.0,988.0,Venerdì,Solare,Residenziale,True,1214.3406759266068
2102.886953640732,3575.581454750989,7.1993367772978045,1.0,1.0,,Lunedì,Solare,Industriale,True,1053.8032778535553
1955.6068270582373,8167.669765587834,10.60463207839998,0.0,1.0,1011.0,Martedì,Solare,Residenziale,False,981.1848031526387
1543.7418552306744,3252.71545259724,8.462349370828427,1.0,2.0456147265980538,944.0,Domenica,,Residenziale,,775.0096324265858
2338.35686488144,7642.637368061358,21.40161795468952,1.0,1.0,1024.0,,Eolica,Residenziale,True,1175.7989178271268
1506.1956290013004,7766.651351446305,12.661975145852962,,0.0,975.0,Giovedì,Fossile,Commerciale,False,756.8964070444061
1894.2661656444357,8968.821439653864,9.065273582658028,2.0,1.0,997.0,Giovedì,Eolica,Industriale,False,950.0526648970152
2595.0973548214843,2528.933429921224,20.6395200122871,2.0,0.0,1053.0,Domenica,Solare,Residenziale,True,1303.7405334144282
2688.6088900616446,8835.440613814053,10.891684320035916,2.0,0.0,982.0,Sabato,Idroelettrica,Residenziale,True,1347.571950326833
2189.1462211391854,7414.748592735223,13.592706881180202,0.0,1.0,1019.0,Sabato,Solare,Residenziale,True,
,4444.268367721212,9.366109757824116,2.0,1.0,985.0,,Eolica,Residenziale,False,672.2075858455773
,4810.0829232015785,,1.5429698311563047,1.0,1062.0,Mercoledì,Eolica,,True,1080.432400433339
1606.0531885261844,5688.802992437932,17.037013217526116,0.0,,1015.0,Mercoledì,Eolica,Residenziale,False,808.13769822835
2624.101519916453,1032.8674752139023,20.296764122700175,0.0,2.0,988.0,Venerdì,,Residenziale,True,1318.5397891950367
2391.62896855019,9884.928315465886,14.802247503016087,2.0,2.0,996.0,Giovedì,Eolica,Commerciale,True,1200.655158526
2257.21103752351,2481.8559555986076,10.984961587390309,2.0,1.0,1030.0,Mercoledì,Solare,Commerciale,True,1132.1010072379722
1432.3840661508061,8280.579884169261,16.24218650824115,0.0,2.0456147265980538,1010.0,Domenica,Solare,Residenziale,False,
1572.415873910753,5077.638629579437,19.69386470846712,1.0,1.0,1063.0,Sabato,Fossile,Commerciale,False,792.3160963679167
2456.8382578576875,2017.2005740531374,13.635860504596529,2.0,1.0,1004.0,Venerdì,Idroelettrica,Commerciale,True,1899.3282325649698
2283.4529754960695,9518.530965408281,23.388794065680013,0.0,1.0,980.0,Domenica,Fossile,Residenziale,True,1148.9431259677388
1883.4235832145696,2842.42915314848,9.028177434411628,2.0,0.0,1018.0,Mercoledì,Fossile,Residenziale,False,944.4202448376083
1919.1977691372076,7801.258488140351,23.751709703689546,0.0,3.0,997.0,Martedì,Solare,Commerciale,False,967.3243974797107
2081.3928115201425,455.5099308336308,14.832598971275011,0.0,1.0,1026.0,Giovedì,Idroelettrica,,True,1045.3461854514537
1412.0980078930356,1495.1028687824175,26.998643608347127,0.0,1.0,,Giovedì,Fossile,Residenziale,False,1899.3282325649698
1822.8220663477757,5463.9491527662485,21.717632615803875,1.0,0.0,1032.0,Lunedì,Solare,Commerciale,False,917.926322958629
2052.391354226328,8397.317538339777,9.638850187050373,2.0,2.0,1004.0,Martedì,Fossile,Commerciale,True,1029.4873321692792
2524.1706738352536,1682.4108457510968,18.486601606839614,1.0,1.0,993.0,Giovedì,Fossile,Residenziale,True,1267.8313173996787
2055.3232561332493,6227.368539033911,4.114102333178762,2.0,3.0,945.0,Martedì,Fossile,Industriale,True,1029.4958587665783
1822.486195447844,885.3095803144906,9.223662433348256,0.0,1.0,1016.0,Venerdì,Solare,Commerciale,False,914.2101964539265
2776.9106950518344,1374.6559403369185,12.74091934314277,1.0,1.0,1040.0,Lunedì,Fossile,,True,1392.47762332886
2614.989690646291,5589.570330252448,,0.0,0.0,1032.0,Sabato,Solare,Residenziale,True,
1546.0977397614738,3043.1514424743623,5.841701748937513,2.0,2.0,978.0,Venerdì,Solare,Residenziale,False,775.2013804054181
,8361.514135760737,17.651351123039916,0.0,0.0,,Sabato,Fossile,Commerciale,True,1058.3445132154127
2990.960494147424,7687.343351832931,18.669619929711388,,1.0,988.0,Venerdì,Fossile,Residenziale,True,1501.2811330526254
1671.7157023696143,7323.358620231886,13.245433528700648,1.0,0.0,970.0,Sabato,Eolica,Residenziale,False,839.8314812434173
2040.2650570308415,8463.515478110754,18.986213155732827,0.0,,1009.0,Giovedì,,Residenziale,,1026.0283924621406
1690.7821479312856,7658.887789792299,15.18833740351602,1.0,2.0,1015.0,Venerdì,Fossile,Residenziale,False,850.3475751866976
2433.8058792361658,1957.8256370432357,10.309512101405321,1.0,2.0,1025.0,Martedì,Fossile,Residenziale,True,1220.3957932485046
2987.4135819381486,6239.413726452057,16.922195227705064,2.0,1.0,1018.0,Venerdì,Idroelettrica,Residenziale,True,
2405.718111085587,7500.88633429652,17.641516602484273,2.0,3.0,1012.0,Venerdì,Solare,Commerciale,True,1208.7515105235389
1780.5055356157827,3894.7543441822663,15.324378832851622,2.0,2.0,1031.0,Sabato,Fossile,Industriale,False,895.2500814577468
2384.142853984133,970.4985412994815,13.270139547693905,1.0,0.0,1012.0,Venerdì,Solare,Residenziale,True,1196.0524688563748
716.3623600523924,701.3471703689589,14.47838231752556,0.0,0.0,997.0,Sabato,Solare,Residenziale,False,362.5246947214539
1198.9217208007924,9021.5820073975,23.68083105583043,2.0,2.0,1035.0,Domenica,Fossile,Industriale,False,606.9651097171453
2574.000383764029,6627.5966014864425,14.392044865334617,1.0,0.0,1060.0,Lunedì,Eolica,Commerciale,True,1291.3178053416148
2505.3952778252265,120.69914245098956,23.65625184643737,1.0,2.0,969.0,Giovedì,Fossile,Residenziale,True,1260.1945144665444
,9118.255577467407,4.1380979753082805,0.0,0.0,1031.0,Lunedì,Eolica,Residenziale,True,1157.4929668708207
3869.906700926867,6339.814458402007,10.734637578921308,,0.0,1052.0,Mercoledì,Eolica,Residenziale,False,969.4160882751181
2126.8063665250224,7262.371978533324,19.608807894273497,0.0,0.0,,Giovedì,Eolica,Residenziale,,1069.2858256307932
2072.506267187869,5718.830738350907,11.129770589333159,1.0,2.0,1014.0,Martedì,Eolica,Residenziale,True,1039.9920647707345
2150.965371211329,8724.60696161323,11.304993566870689,0.0,1.0,1017.0,Giovedì,Idroelettrica,Commerciale,True,1079.0741836757259
2084.2494600097475,9455.13820036308,13.324128789066208,1.0,1.0,1000.0,Lunedì,Fossile,Residenziale,True,1046.3219686415937
2654.2465704575957,491.02948174026494,9.814420751817359,1.0,0.0,1000.0,Giovedì,Idroelettrica,Commerciale,True,1330.067611454343
2570.168914289329,6026.133984190236,14.864060448405345,1.0,2.0,1011.0,Domenica,Fossile,Commerciale,True,1289.9436752791862
1826.5628720542554,1119.4979691434437,16.275989783714515,0.0,0.0,996.0,Martedì,Eolica,Residenziale,False,918.1642329622421
1836.2080270957367,454.955804697611,18.081996360040957,0.0,0.0,999.0,Venerdì,Fossile,Commerciale,False,923.5286124558806
,812.5206304782051,14.722140964128055,0.0,0.0,965.0,Domenica,Fossile,Commerciale,False,659.5714901782557
1078.565227759479,5072.07974009784,20.53199672803369,0.0,1.0,,Martedì,Fossile,Residenziale,False,545.6422128981496
1731.8030440343337,9956.60242112599,18.49203136855743,2.0,2.0,949.0,Lunedì,Solare,Residenziale,,871.849131427734
1026.2549526074095,,11.135685332819454,0.0,2.0,1524.5284221994536,Mercoledì,Fossile,Residenziale,,516.8681819035505
2247.353820228037,9398.681137637102,15.128448919315282,1.0,0.0,965.0,,Idroelettrica,Industriale,True,1128.215444789813
1986.5242539430578,5395.343392864184,11.421020787591498,,2.0456147265980538,,Domenica,Eolica,Residenziale,False,996.6884332078064
2044.7622822465514,3108.517246759107,20.59786978588098,2.0,3.0,950.0,Lunedì,Fossile,Residenziale,True,1029.16050205904
2322.514056940551,1808.6495475008724,,2.0,,983.0,Giovedì,Eolica,Residenziale,True,1164.248232098771
981.7156297987922,2256.3356058955965,12.827238079762575,1.0,1.0,978.0,Sabato,Solare,Commerciale,False,494.90598632332484
3869.906700926867,8935.635187267215,9.591601010017083,0.0,2.0,1030.0,Lunedì,Fossile,Residenziale,True,
1829.0598886782755,1125.7904907122506,17.027026586337414,0.0,1.0,1076.0,Giovedì,Eolica,Industriale,False,919.838052315039
970.9068202868152,190.83602068761806,13.197420695054161,0.0,0.0,1046.0,Domenica,Solare,Residenziale,False,489.4126363519239
2076.137837469501,,19.0733580261627,2.0,2.0,979.0,Sabato,Idroelettrica,Commerciale,True,1044.1909261425994
2346.608534404948,9951.11856066373,3.187413644729242,0.0,1.0,1046.0,Venerdì,Solare,Commerciale,True,1174.4604912958928
2669.496903829168,198.0585687137981,10.294571743513263,1.0,0.0,984.0,Mercoledì,Eolica,Commerciale,True,1337.8368234376378
3869.906700926867,3476.62518619293,13.99024947553828,0.0,1.0,966.0,Lunedì,Eolica,Residenziale,True,1141.0141454075438
2315.179389167951,5079.929662349184,20.648890188892008,,0.0,991.0,Giovedì,Fossile,Commerciale,True,1163.784361640643
1282.8470585680784,1292.0772334020958,17.735944068359075,1.0,1.0,982.0,Lunedì,Idroelettrica,Residenziale,False,646.9443125045469
2130.804283939019,9818.048419233251,28.77962001874123,1.0,0.0,1065.0,Lunedì,Eolica,Residenziale,True,1074.036027975132
2242.86856215959,6222.3635927591085,4.8104394547678275,0.0,0.0,1024.0,Giovedì,Fossile,Commerciale,True,1122.8774129162255
2000.4894033122275,7931.835454881677,,1.0,4.0,971.0,Mercoledì,Fossile,Residenziale,True,1005.3020711013714
1611.2742110940662,5639.193216635773,1.9306425899263147,0.0,0.0,999.0,Venerdì,Fossile,Commerciale,False,806.2162983240111
1930.0684553939122,1272.6373610596975,9.804817194526976,,3.0,995.0,Lunedì,Fossile,Residenziale,False,968.5756728553142
1320.5966311188067,1934.973661289623,11.022375168187367,2.0,0.0,1032.0,Lunedì,Fossile,Commerciale,False,663.6050281098595
1483.5530428900504,7678.034131033803,,1.0,1.0,983.0,Lunedì,Eolica,Residenziale,False,744.1139390812541
2024.402556375414,780.3816213567583,22.724650836536217,1.0,0.0,1023.0,Martedì,Eolica,Commerciale,True,1019.0186734386679
2283.0737597426023,3989.596126112019,18.630800606269467,0.0,1.0,991.0,Mercoledì,Fossile,Residenziale,True,1147.326120053182
979.2706301047756,1707.5279188514357,14.806355129770884,0.0,4.0,992.0,Mercoledì,Eolica,Residenziale,False,494.8772215913191
1991.1486241327384,3915.3162788393547,27.465447288811,0.0,1.0,,Martedì,Eolica,Residenziale,False,1899.3282325649698
1940.4913975978855,1633.8672143170486,22.797293628540206,0.0,2.0,960.0,Giovedì,Fossile,Commerciale,False,977.4848868875048
1492.4567519393775,8698.450687539384,17.38289057873479,2.0,0.0,1029.0,Venerdì,Solare,Residenziale,False,751.4432431433091
1595.1626522383938,9578.579590060417,1.7963912754312013,2.0,2.0,1016.0,Mercoledì,Fossile,Industriale,False,798.5202435018263
3869.906700926867,8265.854552916815,15.618860670744827,2.0,2.0,993.0,Mercoledì,Eolica,Residenziale,False,582.9354543959064
2024.51384807879,2221.2329201639923,20.118195498065454,2.0,1.0,986.0,Martedì,Fossile,Residenziale,True,1018.4923826888147
1175.055510121765,1696.0829757042318,12.252744848073844,1.5429698311563047,2.0,1042.0,Venerdì,Fossile,,False,591.6035785153047
1556.5858595453633,2711.7649480183036,29.70796964876087,1.0,1.0,1037.0,Giovedì,Fossile,Residenziale,False,
1985.4569116202913,3560.6068484173215,15.355946413139455,0.0,3.0,1024.0,Giovedì,Fossile,Residenziale,False,997.9352397340875
2198.167894031538,7553.7088429998175,10.278592038068604,1.0,0.0,1015.0,Lunedì,Eolica,Commerciale,True,1102.1675246271896
2451.642941739456,3873.2665919001597,6.458811037945756,1.0,1.0,1013.0,Mercoledì,Eolica,Residenziale,True,1227.9591141811118
1939.9247773225356,6930.879437549477,8.190496406552558,0.0,1.0,1012.0,Giovedì,Eolica,Commerciale,False,972.6195375832336
2217.822138561108,7305.49726170477,16.365294109300798,2.0,2.0,,Venerdì,,Residenziale,True,1114.2206575133443
1891.5638180232356,6810.592115355437,18.137510768472385,2.0,3.0,1002.0,Mercoledì,Eolica,Industriale,,951.8231622421596
3869.906700926867,5681.135848463641,15.66119129639498,0.0,0.0,1028.0,Martedì,,Residenziale,True,1070.8847143148103
3432.645563977482,1152.3422524347504,6.989818884138794,2.0,1.0,1029.0,,Eolica,Industriale,True,1718.6197276539829
2617.444441432086,995.3259772795409,16.443635648484126,1.0,0.0,986.0,Lunedì,Fossile,Commerciale,True,1313.6553114105882
2550.069739145435,3085.719472312214,19.324984355232687,2.0,2.0,980.0,Venerdì,Fossile,Commerciale,True,1281.2323648792874
2393.944348975843,4932.478220346831,12.7934112277568,1.0,2.0,993.0,Giovedì,Solare,Residenziale,True,1201.2101978562484
1655.5017331396734,8167.669765587834,18.066955447205515,1.0,1.0,984.0,Domenica,Fossile,Residenziale,,833.3709532039984
1715.7858800499553,3975.779940839611,22.364709926019316,0.0,2.0,982.0,Lunedì,Eolica,Residenziale,False,865.0023530027834
1607.7126699784753,8437.537761809062,10.294967544645921,1.0,2.0,1028.0,Lunedì,Fossile,Residenziale,False,807.3448252526314
1416.386759239413,7921.969324619375,21.244992006873325,1.0,0.0,1015.0,Giovedì,Idroelettrica,Commerciale,False,714.5668772217686
1058.5306385236559,3694.1118308397745,13.521338077986465,0.0,2.0,997.0,Martedì,Solare,Residenziale,False,533.7217206852239
3131.4264215990006,7335.523145941751,11.00450057739262,0.0,2.0,1031.0,Domenica,Idroelettrica,Residenziale,True,1569.4145609727182
1908.1876827890326,4869.676120465769,,0.0,2.0,1039.0,Martedì,Fossile,Residenziale,False,960.1508916416286
,3687.0348316536715,11.116125719943078,,1.0,972.0,Venerdì,Solare,Residenziale,False,859.9329632597419
,4037.669442384456,15.781731830841423,1.0,0.0,976.0,Sabato,Fossile,Industriale,True,1322.8443541813906
2085.7738856171823,3529.5549216769973,15.276237664213443,2.0,2.0,1000.0,Venerdì,Solare,Residenziale,True,1047.8698141078553
2552.913778538906,1572.714526995892,20.40442026512728,1.5429698311563047,1.0,1048.0,,Eolica,Commerciale,True,1282.7782153489914
2521.550701084738,3544.1825451193054,13.699361326789935,0.0,0.0,,Mercoledì,Solare,Residenziale,True,1264.885158940406
1637.5963078032403,9164.166906799475,16.582498582468588,0.0,0.0,1015.0,Venerdì,Eolica,Commerciale,False,823.7729034763607
1960.8026006868622,5255.304130211329,9.90965844573068,0.0,2.0,955.0,Sabato,Eolica,Residenziale,False,983.7741978771503
2455.8525250359426,8666.843263176304,8.110354268119902,1.0,2.0,992.0,Sabato,Eolica,Commerciale,True,1899.3282325649698
2060.9709314087036,8233.835600247483,20.179574374783122,1.0,1.0,1026.0,Martedì,Solare,Commerciale,,1036.7393380167869
2313.434162563816,8564.046598492108,11.595377981098387,1.5429698311563047,1.0,,Mercoledì,Eolica,Commerciale,True,1160.3956946762376
2177.8774637890465,9979.701089310098,7.13949351646275,0.0,0.0,1012.0,Giovedì,Idroelettrica,Commerciale,True,1091.0805799494622
1604.3104953034313,3440.029920734191,11.423933575852098,1.0,,973.0,Martedì,Eolica,Residenziale,False,805.5824277244712
2535.922477978504,9359.734881328934,15.125729104196413,1.0,0.0,1524.5284221994536,Giovedì,Idroelettrica,Residenziale,True,1272.498957720511
2868.9189682520605,,14.056748857904836,0.0,0.0,995.0,Sabato,Fossile,Commerciale,True,1438.6765087834017
1796.5682567420754,7024.464343464529,5.390755368399988,2.0,3.0,979.0,Domenica,Fossile,Residenziale,False,900.5013549815577
478.1130707692314,8018.365301428934,16.139547457189725,2.0,0.0,988.0,Venerdì,Fossile,Commerciale,False,243.89839962177263
1452.6648042788997,8392.124973835966,14.412419369597217,2.0,2.0,988.0,Domenica,Fossile,Residenziale,False,731.056127950329
2042.8350011964053,7409.651896811067,9.055855051332657,1.0,0.0,1039.0,Mercoledì,Eolica,Residenziale,True,1024.1342571136024
